dataset,n,chosen_dropout_p_mean,chosen_dropout_p_sem,chosen_tau_mean,chosen_tau_sem,validation_rmse_mean,validation_rmse_sem,validation_ll_mean,validation_ll_sem,rmse_mean,rmse_sem,ll_mean,ll_sem,rmse_difference_mean,rmse_difference_sem,ll_difference_mean,ll_difference_sem,epochs,hidden,n_train,n_validation,n_test,published_rmse,published_ll,t_samples
yacht,20,0.006750000000000001,0.0005471216549024155,0.75,0.0,0.7457219388141596,0.04154042522833548,-1.2624677973102445,0.012732416896902896,0.7222538617228064,0.04752087661919135,-1.2613539878196198,0.01885946229819383,0.055979073865359684,0.04839693130065577,-0.01120569096283841,0.022546569937399348,4000,50,277,56,31,varies,varies,10000
energy,20,0.005,1.9898642965185547e-19,0.75,0.0,0.5747607116750006,0.01748349954679719,-1.2272196379499856,0.006886612803518974,0.5588070671253692,0.017127824062346274,-1.2189632632449086,0.006701874533815397,0.01994042395718069,0.014614976541619574,-0.007446250701854465,0.006135334766244922,4000,50,691,139,77,varies,varies,10000
concrete,20,0.007000000000000001,0.0005619514869490163,0.0675,0.0026282874151892337,4.83821333196875,0.12749534930159048,-2.9381910548924113,0.021408875418573482,4.793833198535426,0.13243583156009606,-2.927791375690564,0.02264181612686409,-0.032627129109270306,0.08216433007700748,0.008864503069819184,0.017081873023647713,4000,50,927,186,103,varies,varies,10000
