dataset,epochs,n,train_time_s_mean,train_time_s_sem,rmse_in_range_mean,rmse_in_range_sem,ll_in_range_mean,ll_in_range_sem,picp95_in_range_mean,picp95_in_range_sem,mpiw95_in_range_mean,mpiw95_in_range_sem,median_std_epi_in_range_mean,median_std_epi_in_range_sem,rmse_extrapolation_mean,rmse_extrapolation_sem,ll_extrapolation_mean,ll_extrapolation_sem
sin_homo,300,3,3.687685799978984,0.4252175169922697,0.1244176933695935,0.0027278926731648103,0.6355073909195877,0.02496547005778096,0.8955555555555555,0.0061864048475889005,0.3996760479653833,0.0011212292744331527,0.0169664567089975,0.0019107057362064263,0.6402896949797844,0.01591602149195039,-7.783273880239354,0.6469641242225082
sin_homo,600,3,9.356323566637004,0.08173294917283185,0.10655300140281106,0.000877771603184643,0.8174444496038853,0.00977966861421381,0.9366666666666665,0.00693888666488711,0.40054931788742615,0.0036740230364869517,0.021717219208849434,0.005415359943871013,0.33655512527541775,0.01412838170994898,-3.0032636944968396,0.3859327152149186
sin_homo,1000,3,15.245108833303675,0.24051134953620515,0.10433501904721372,0.0002631773420477102,0.8404176270951688,0.0031516449790728747,0.9416666666666668,0.004409585518440961,0.39978135592610026,0.0033602098051904203,0.019941602154490732,0.005525970613219801,0.2457717704832267,0.01733989296782928,-1.0104041240313728,0.21875080072718084
sin_homo,2000,3,35.5575298666566,0.6506371565093481,0.10168554654725714,0.0012923001509080178,0.8655673517651966,0.013048037376565454,0.9466666666666668,0.005773502691896295,0.4019616822189614,0.001937726906388151,0.023148326020924436,0.0031638538890264084,0.2289041664159962,0.02767069122118663,-0.7554372574716531,0.33194055060467825
sin_gap,300,3,5.072656433330849,0.2144211851763553,0.11912983294346484,0.0014957343119907313,0.6863863581797424,0.01637657955471406,0.9058333333333334,0.005833333333333336,0.39864735453284833,0.0004773373270901998,0.018057136662757736,0.0014587719430070045,0.5488432710720431,0.03248440858317493,-6.985749072380248,0.8439027321936822
sin_gap,600,3,9.18261193332728,0.015170459555613516,0.10789359872440736,0.0003592420549661355,0.8053322425472298,0.004100271898884256,0.9383333333333334,0.0060092521257732855,0.4022289446783897,0.0029876419444473663,0.023490635211093736,0.0029549108602188673,0.33629928999188435,0.0223001577072771,-2.9917977710242982,0.4227754221006862
sin_gap,1000,3,15.462377633317374,0.02265699349101031,0.10510238866560177,0.0010860875775084672,0.8332199399642,0.010355743633072189,0.9441666666666667,0.0016666666666666683,0.39981834811812395,0.002571064175299215,0.0180814909318169,0.004635251667930577,0.25267282551153103,0.016836524652088826,-1.0929752216554662,0.2929091866732604
sin_gap,2000,3,31.379824766656384,0.2682175581871451,0.10171941981982147,0.0009080638457342186,0.8659133661543614,0.009307869993241185,0.9516666666666667,0.006821127309893697,0.39847009470014205,0.0006169691855944224,0.018494269258404566,0.0008624189392109167,0.2456109884747157,0.02002666743292052,-1.047710273644337,0.4992337235942203
