dataset,method,depth,n,n_parameters_mean,n_parameters_sem,rmse_in_range_mean,rmse_in_range_sem,ll_in_range_mean,ll_in_range_sem,picp95_in_range_mean,picp95_in_range_sem,mpiw95_in_range_mean,mpiw95_in_range_sem,median_std_epi_in_range_mean,median_std_epi_in_range_sem,rmse_extrapolation_mean,rmse_extrapolation_sem,ll_extrapolation_mean,ll_extrapolation_sem,picp95_extrapolation_mean,picp95_extrapolation_sem,mpiw95_extrapolation_mean,mpiw95_extrapolation_sem,median_std_epi_extrapolation_mean,median_std_epi_extrapolation_sem,ratio_at_m2_mean,ratio_at_m2_sem,ratio_at_8_mean,ratio_at_8_sem,gap_ratio_mean,gap_ratio_sem,train_time_s_mean,train_time_s_sem
sin_homo,mcd,1,3,151.0,0.0,0.1445848788490145,0.005568377970024325,0.5410076821177668,0.03761624996054875,0.9472222222222223,0.012777777777777777,0.5743161931701256,0.006864011012393036,0.11439504659466455,0.002987632120997148,0.8329217711769664,0.039441883729896925,-10.816142897119995,1.0894785141152024,0.17916666666666667,0.06325104303048641,0.6779368113781924,0.002063341471713119,0.13974083991830621,0.0006456877993785769,1.2494808157866817,0.046264876420284026,1.2265042711832521,0.0883237098442408,,,6.644468633341603,0.5093136105630762
sin_homo,mcd,2,3,2701.0,0.0,0.11527827794999511,0.004462121697304525,0.7269214198369895,0.030817261362859755,0.9677777777777777,0.008888888888888946,0.5110698224083069,0.001688382677149065,0.08368645996115982,0.0007541025843261132,0.9554233698652653,0.0379848281351005,-22.3923807941076,2.1514796378612466,0.06583333333333334,0.02390664714630175,0.5463563759169108,0.0037396638637019588,0.09675985522814597,0.001301615943763095,1.1963508565770917,0.07498947719635106,1.1646574279621291,0.08135229054137698,,,9.27196216666683,0.3794122320324523
sin_homo,map,1,3,151.0,0.0,0.10286678639676844,0.0003276491808021776,0.8545570372108854,0.003367898807190368,0.9400000000000001,0.0009622504486493986,0.3919927969080108,0.0,0.0,0.0,0.2332811538609645,0.026065367293119306,-1.4052986147582978,0.638646441504768,0.5966666666666667,0.05449260908090604,0.391992796908011,3.925231146709437e-17,0.0,0.0,,,,,,,5.794289833332489,0.20120836494496913
sin_homo,map,2,3,2701.0,0.0,0.1021208335252789,0.0018489161619398595,0.8618714786970981,0.019045098735263992,0.9416666666666668,0.005357583756107195,0.3919927969080108,0.0,0.0,0.0,0.5587827415332494,0.02254186730409806,-14.279074630136883,1.2440196986684608,0.19666666666666668,0.041264728010466496,0.391992796908011,3.925231146709437e-17,0.0,0.0,,,,,,,8.07498519999596,0.2976740425268504
sin_homo,laplace,1,3,151.0,0.0,0.10286678639676844,0.0003276491808021776,0.855817071728383,0.003233110907959185,0.943888888888889,0.001469861839480334,0.39843121992820146,4.6538573216271e-05,0.016867047168098132,1.2421431045901018e-05,0.2332811538609645,0.026065367293119306,-0.14700737810046874,0.03489043961871506,0.9791666666666666,0.0033333333333333366,1.6719544867256069,0.053134208728512336,0.36326631249144187,0.013156691674620602,56.638940744475974,2.003402854012117,53.496462438779794,2.134414680239849,,,5.851477166666882,0.16559232499914023
sin_homo,laplace,2,3,2701.0,0.0,0.1021208335252789,0.0018489161619398595,0.8631728406829399,0.017863067307563766,0.9472222222222223,0.006758625033664684,0.4007977991280482,0.00011136656282955814,0.020043916982194567,0.00011570410506777908,0.5587827415332494,0.02254186730409806,-0.7978641715880231,0.07728419773547393,0.9049999999999999,0.036314597615834866,1.6774728474175202,0.06842933988447406,0.401912129864598,0.0033965994587888304,41.3970093918147,6.961822473717413,28.559503415516804,3.7864569553951606,,,14.320469699984338,0.884261361344111
sin_homo,ensemble,1,3,755.0,0.0,0.10168554654725714,0.0012923001509080178,0.8655673517651966,0.013048037376565454,0.9466666666666668,0.005773502691896295,0.4019616822189614,0.001937726906388151,0.023148326020924436,0.0031638538890264084,0.2289041664159962,0.02767069122118663,-0.7554372574716531,0.33194055060467825,0.6241666666666666,0.03811532208676424,0.42865153028809283,0.003663987856935403,0.032462991160369964,0.0028076134932528726,4.440717990417886,0.36016198931819365,2.640234184377728,0.5944198274636462,,,28.549200733337784,1.0700316728493418
sin_homo,ensemble,2,3,13505.0,0.0,0.10088915756275453,0.0011602267919334993,0.8729537321054797,0.011369753296106297,0.9538888888888889,0.005299662230094133,0.4039929370322303,0.00394379414039351,0.020179566267993634,0.003495997874342501,0.5227972008056513,0.03557593803537671,-8.37562899464859,2.1242980109672702,0.21083333333333332,0.04189106242518935,0.451743096207903,0.01567836153213926,0.045739886847141066,0.005738633300283714,2.9897317119104336,0.28961776722998916,5.565896185854366,0.18540474786581657,,,40.36478880000262,1.3552802648597657
sin_homo,bbb,1,3,302.0,0.0,0.11369658173772353,0.0016730231172742466,0.731675621515031,0.00500495104589873,0.9783333333333334,0.006309898162000284,0.5357994394626954,0.012725998993461619,0.09122920866707133,0.0038849289925534216,0.6449417118523669,0.04077068627545515,-8.267639624171014,1.6547322418627828,0.19000000000000003,0.04125631264828856,0.5723569274128751,0.015640814007117435,0.10571986694844397,0.0060101239234104245,1.0430029808526424,0.09086423739613962,1.4004055091888141,0.030586775408072496,,,126.27452553333326,6.130515514722432
sin_homo,bbb,2,3,5402.0,0.0,0.1061954015020979,0.0020569184431590316,0.766104224763084,0.010360110706667137,0.985,0.0025458753860865637,0.5395289205659269,0.008235054300834148,0.0930934072914658,0.00233332374785407,0.9151327524742014,0.02287191562542288,-19.565145654664757,0.6544553252814216,0.085,0.01607275126832159,0.5561001485502454,0.006723954522469465,0.09927484314758044,0.00260304614916086,1.1855255324372422,0.03184809396071924,1.0828521965821605,0.02499620308064021,,,194.1340520333324,26.612907116500956
sin_homo,gp,0,3,3.0,0.0,0.10023272222845286,0.001298952491776812,0.8786220107178794,0.012221895359621048,0.9461111111111112,0.006260793149769264,0.39484060785683184,0.013568782637994388,0.013748375166258334,0.00030475084397123465,0.24265836228624185,0.0665630104606537,-0.012925115544576362,0.24331012837299137,0.9525,0.03774917217635379,1.068170318467302,0.021310274480636427,0.2154208804170342,0.001593559019794772,40.78882895856783,1.2362593317230997,40.78882895856807,1.236259331723257,,,0.7302647333320541,0.050627517295546286
sin_gap,mcd,1,3,151.0,0.0,0.1461768087717393,0.007990480572454292,0.4953229568414481,0.04897461707241326,0.9583333333333334,0.00927960727138338,0.6154250642552329,0.008337259994004661,0.12101159154311934,0.00276204311541359,0.8252587256031633,0.05236976018930662,-11.223013493272438,1.5562985741019422,0.1575,0.043898557303553076,0.6626015069300227,0.005311191731356667,0.13565095291993592,0.0015793312621950354,1.1956320851769269,0.028803116394035343,1.1199893235793306,0.039113953550901824,0.6975795478876075,0.012729389180919032,6.3359891000048565,0.02226250565650917
sin_gap,mcd,2,3,2701.0,0.0,0.11918466448165664,0.004372739107456311,0.6932131391729328,0.030803253340833628,0.9666666666666667,0.01092906420717001,0.521185618958203,0.0028081036405155,0.0873431608930781,0.0010595641054810753,0.9292138574038592,0.0380161379284336,-21.412577215126422,1.5949943007906076,0.08,0.020966242709015207,0.5420670782839084,0.0023519597069205757,0.09513352520248514,0.001064435420630389,1.0740660602448677,0.06617209988066076,1.117926444261401,0.0049209918336808635,1.1298487802763357,0.013338425274098622,9.069590166667089,0.04401485401714201
sin_gap,map,1,3,151.0,0.0,0.10257414837057986,0.000989427021909133,0.8574758675087174,0.010116655266981396,0.945,0.003818813079129858,0.391992796908011,3.925231146709437e-17,0.0,0.0,0.24426702868616387,0.023718633050864336,-1.6559298607491426,0.6059058214766717,0.5883333333333333,0.05976226048082333,0.391992796908011,3.925231146709437e-17,0.0,0.0,,,,,,,5.650510099997821,0.02075081411108614
sin_gap,map,2,3,2701.0,0.0,0.10382026153811523,0.001885878464471434,0.8443585707389643,0.01941599911302121,0.9416666666666668,0.007949493345141214,0.391992796908011,3.925231146709437e-17,0.0,0.0,0.6056133773950912,0.07369703807882623,-17.497856926364282,4.516135571654722,0.19166666666666665,0.056868513061076056,0.391992796908011,3.925231146709437e-17,0.0,0.0,,,,,,,7.85139673333227,0.02119329045247487
sin_gap,laplace,1,3,151.0,0.0,0.10257414837057986,0.000989427021909133,0.8587046492616737,0.010401398400244422,0.9500000000000001,0.002500000000000021,0.39806711332264094,0.00015839314333481914,0.0158038680138592,0.0003217152360176139,0.24426702868616387,0.023718633050864336,-0.17144532979456528,0.04411469021209975,0.9783333333333334,0.005833333333333336,1.7168145654701654,0.03779964048079212,0.37177815875824116,0.01046215712125166,61.85895866185317,4.392297042573265,59.7893729298034,1.6604623643293432,6.398375666683937,0.5626584346370119,5.8257940666711265,0.010467873843890379
sin_gap,laplace,2,3,2701.0,0.0,0.10382026153811523,0.001885878464471434,0.8463568406550097,0.018422933411964444,0.9474999999999999,0.007500000000000026,0.3998292816356397,0.00027759927764789335,0.01881693163869073,0.0008058216011404686,0.6056133773950912,0.07369703807882623,-1.1104799282607716,0.3625816906088306,0.7925,0.0963824845775068,1.551515735975757,0.024603346725624437,0.3545838103414792,0.016742062524720304,43.386031441226635,1.2912095570085615,25.993443387003754,5.734065852719488,7.855198141271518,0.8563247261199131,13.575105866669523,0.011757862147213258
sin_gap,ensemble,1,3,755.0,0.0,0.10171941981982147,0.0009080638457342186,0.8659133661543614,0.009307869993241185,0.9516666666666667,0.006821127309893697,0.39847009470014205,0.0006169691855944224,0.018494269258404566,0.0008624189392109167,0.2456109884747157,0.02002666743292052,-1.047710273644337,0.4992337235942203,0.62,0.047893110151670054,0.4360437342984269,0.012758388002998994,0.0331714675100457,0.002781141535912536,5.738717757808274,0.817048457825823,3.665918710626224,1.317284408149946,1.4432333196473686,0.02480864173896056,29.030298999995768,0.7214189533172511
sin_gap,ensemble,2,3,13505.0,0.0,0.1021124012224859,0.0012428223863758265,0.8601783056778549,0.012670159876748034,0.9533333333333333,0.003632415786283881,0.40154326218621267,0.0015532498372350834,0.016054232913100767,0.0006943209647383627,0.5330750937378307,0.05371033426011118,-9.254806682108144,2.786010313193753,0.21666666666666667,0.04798726682962656,0.4491815807993127,0.021441385116098142,0.052093518258922104,0.010646024555223876,4.040104078561676,0.9588427245094235,5.286901620112068,1.0501686213133539,1.1729932774192053,0.3546105601997078,40.072075666665725,0.18048362517947567
sin_gap,bbb,1,3,302.0,0.0,0.1124058771414874,0.00437016002624192,0.7376560189645418,0.03502587708275733,0.9816666666666668,0.0054645321035850175,0.5339570077160622,0.024891535014255957,0.0901847830725605,0.010781293988277126,0.6140267140386048,0.058312691183650976,-8.06966138269823,2.2815295807443534,0.19666666666666666,0.03609401304617953,0.5685188803408563,0.037400863314146694,0.10317386137523356,0.012709868423453825,0.934237110098629,0.07149226806105655,1.455224336911713,0.04994532017367214,1.1610407001292813,0.0639579728023872,138.6397856666687,3.3974325825352727
sin_gap,bbb,2,3,5402.0,0.0,0.1050228606621939,0.0005437451628910677,0.7904939826423245,0.0038795720833371106,0.9858333333333333,0.0008333333333333526,0.513842443306834,0.004443919940772831,0.0804702166215861,0.0017245111701151834,0.877931385318982,0.02362530730414409,-19.7069315719403,1.626953447739801,0.105,0.01,0.5283727407766403,0.007127727589211919,0.0907043762800875,0.0031519191854525973,1.0568525714061427,0.016942670444404374,1.2872549369565907,0.010782412904637866,1.7131762343421186,0.05167844435132037,224.7860726666598,3.8102277863587886
sin_gap,gp,0,3,3.0,0.0,0.10078113432334267,0.0014750667927964612,0.8731307500134564,0.014552167699402398,0.9508333333333333,0.006666666666666672,0.39526146236262133,0.013464925766369956,0.0137130578460933,0.00034817917822964995,0.273411975786649,0.09664114938479641,-0.1318143630533856,0.37423820275553715,0.9141666666666667,0.07458682487171876,1.076817330858633,0.0028060177582049342,0.21841482018779548,0.00411233682517665,41.06294118588707,1.317806598636688,41.062941185887055,1.3178065986367506,2.8386684792722803,0.23480001087993804,0.728773899997274,0.06224417062176086
