dataset,dropout_p,seed,rmse_in_range,ll_in_range,picp95_in_range,mpiw95_in_range,median_std_epi_in_range,rmse_extrapolation,ll_extrapolation,picp95_extrapolation,mpiw95_extrapolation,median_std_epi_extrapolation,std_epi_at_m2,ratio_at_m2,std_epi_at_8,ratio_at_8
sin_homo,0.05,0,0.1294202135333196,0.6403427824200653,0.955,0.5468945358279762,0.1019847921116705,0.7710737919119098,-10.54678023072975,0.13,0.6382579865370552,0.1277721211095286,0.1382698410603278,1.355788821032514,0.1192602259059639,1.1693922538507238
sin_homo,0.05,1,0.1258274598848637,0.6625608997591168,0.96,0.5318254306669004,0.0980790287270427,0.6856992789162344,-8.304688243773542,0.27,0.6304886975469514,0.1264074752220224,0.1393063296800457,1.4203477694272435,0.1530345671044071,1.5603189498369474
sin_homo,0.05,2,0.1565579353324568,0.4219790332814925,0.9116666666666666,0.5292900997939562,0.0947182660811271,0.5903547469678616,-5.728901631625856,0.515,0.6385101637582152,0.1283689475969677,0.1322342026726729,1.3960792162243862,0.1219726438581382,1.2877415191877284
sin_homo,0.1,0,0.1409097697646579,0.5629990383291041,0.96,0.5876497293206818,0.1198717651431537,0.8872215313566946,-12.278507884999296,0.105,0.6817700822148395,0.1408905294053811,0.1544284797616228,1.288280685424133,0.1287048022662961,1.0736873867886547
sin_homo,0.1,1,0.1373180015272753,0.5923195635235492,0.96,0.5704790101927222,0.1137259873292921,0.8553262915960997,-11.483890987528468,0.1275,0.6773436789278882,0.1396753072257563,0.1481654792777392,1.302828691640443,0.1569019634856325,1.3796491652459786
sin_homo,0.1,2,0.1555268652551103,0.4677044445006472,0.9216666666666666,0.5648198399969726,0.1095873873115479,0.7562174905781048,-8.68602981883222,0.305,0.6746966729918492,0.1386566831237812,0.1268291074229325,1.1573330702954687,0.1343734528828837,1.226176261515123
sin_homo,0.2,0,0.1576685431715032,0.4758884220432899,0.965,0.6347971479364437,0.1365536790551061,1.0606986292498195,-15.735714164142294,0.065,0.7257480615367858,0.1547398972269381,0.1537334599838919,1.1258097258723654,0.1555579181992134,1.1391704659706616
sin_homo,0.2,1,0.1527456143056582,0.5001991547568142,0.9616666666666668,0.6325582652918197,0.1340311106291572,1.0548045393412344,-15.219527030648493,0.0825,0.7330347263787815,0.1577973379111099,0.1591141486307595,1.187143401885277,0.1638820787059797,1.222716710595762
sin_homo,0.2,2,0.1556396650264794,0.4797051675340587,0.965,0.6215465636587536,0.1286819183474882,0.9839701754744852,-13.326944876741583,0.1225,0.7236254427411082,0.1545842726704227,0.1461874024571549,1.1360368599914357,0.1551996262165067,1.206071748148881
sin_homo,0.3,0,0.1743994114813254,0.3749323743831023,0.9466666666666668,0.6649756575327025,0.1452522702271586,1.163407474672986,-17.68575022331825,0.06,0.7552848825995234,0.1637971966983242,0.1742997309483553,1.199979392237861,0.1717540518177673,1.182453475936471
sin_homo,0.3,1,0.185451364351168,0.309007184309177,0.9383333333333334,0.688956848626006,0.1540007150029214,1.28557613294395,-20.08794351714561,0.04,0.7835378282311128,0.1729922882991238,0.1731761540819457,1.124515260066556,0.1722149340363152,1.1182736004378184
sin_homo,0.3,2,0.1720953002465008,0.387537536459379,0.97,0.6774574901402691,0.14684048364632,1.0514475998563713,-13.299105128417368,0.0975,0.7757223330808861,0.1707124547717661,0.1750472944891301,1.1920915141545636,0.1806621205878821,1.230329103403288
