dataset,method,split_index,epochs,rmse,ll,picp95,mpiw95,mean_var_epistemic
yacht,mcd,0,2000,1.3889381212903749,-2.316863078406825,1.0,14.456731883794587,5.790537739774823
yacht,mcd,0,2000,1.3889381212903749,-2.316863078406825,1.0,14.456731883794587,5.790537739774823
yacht,map,0,2000,0.7144540613947936,-1.2464021371312712,0.8709677419354839,1.9604881520330664,0.0
yacht,map,0,2000,0.7144540613947936,-1.2464021371312712,0.8709677419354839,1.9604881520330664,0.0
yacht,laplace,0,2000,0.7144540613947936,-1.0032537724650847,0.935483870967742,2.155936092885971,0.0536957776067814
yacht,laplace,0,2000,0.7144540613947936,-1.0032537724649977,0.935483870967742,2.1559360928856446,0.0536957776066914
yacht,ensemble,0,2000,0.5411465638902783,-0.7467981224120083,0.967741935483871,2.622334992775804,0.1968427581512766
yacht,ensemble,0,2000,0.5411465638902783,-0.7467981224120083,0.967741935483871,2.622334992775804,0.1968427581512766
yacht,bbb,0,2000,1.0093937131576474,-1.5751238777714458,0.967741935483871,6.621143388706845,1.1860564508436793
yacht,bbb,0,2000,1.0093937131576474,-1.5751238777714458,0.967741935483871,6.621143388706845,1.1860564508436793
concrete,mcd,0,1000,5.889535143199403,-3.1966333768176884,0.970873786407767,24.851147844973944,7.894153459316444
concrete,mcd,0,1000,5.889527485309342,-3.1966324072987504,0.970873786407767,24.851152079655787,7.894148859837886
concrete,map,0,1000,5.482994820464825,-3.924802101067568,0.8058252427184466,10.75594708657725,0.0
concrete,map,0,1000,5.482994884373936,-3.924802232370353,0.8058252427184466,10.755946781965752,0.0
concrete,laplace,0,1000,5.482994820464825,-3.240567830116841,0.8543689320388349,13.369776124782936,4.526225944318775
concrete,laplace,0,1000,5.482994884373936,-3.2405681102378328,0.8543689320388349,13.369782955986686,4.526240058705114
concrete,ensemble,0,1000,4.98203963791167,-2.9935032276886613,0.8932038834951457,15.549214736182265,6.790815534215513
concrete,ensemble,0,1000,4.981365049760167,-2.994626279033823,0.8932038834951457,15.532781012870077,6.762012517072433
concrete,bbb,0,1000,5.497952848423596,-3.153926794365397,0.9223300970873788,18.318941123462142,3.4229262963814
concrete,bbb,0,1000,5.497952848423569,-3.153926794365388,0.9223300970873788,18.318941123462203,3.422926296381417
kin8nm,mcd,0,1000,0.0938907342037037,0.8810995550570071,0.9829059829059827,0.4886834119050161,0.0038965815276505
kin8nm,mcd,0,1000,0.0938907342036997,0.8810995550570331,0.9829059829059827,0.4886834119050127,0.0038965815276497
kin8nm,map,0,1000,0.0732588819875067,1.1887409203135588,0.9230769230769232,0.2661595285076141,0.0
kin8nm,map,0,1000,0.0732018106840022,1.1896977982160295,0.9218559218559218,0.2662422996434928,0.0
kin8nm,laplace,0,1000,0.0732588819875067,1.1935867055329574,0.9267399267399268,0.273568249846438,0.0002610233136023
kin8nm,laplace,0,1000,0.0732018106840022,1.1944638159986134,0.9267399267399268,0.273634163657452,0.0002604976136897
kin8nm,ensemble,0,1000,0.0685153009037889,1.251763826211135,0.9743589743589745,0.3047455513242879,0.0010736654651717
kin8nm,ensemble,0,1000,0.0683870427610211,1.2548586990552146,0.9706959706959708,0.3042874952924335,0.0010607613183252
kin8nm,bbb,0,1000,0.0844167845555012,1.0537411013534526,0.960927960927961,0.3350540699867154,0.0004302275116785
kin8nm,bbb,0,1000,0.0844167845555008,1.053741101353458,0.960927960927961,0.3350540699867149,0.0004302275116785
