dataset,dropout_p,n,rmse_mean,rmse_sem,ll_mean,ll_sem
yacht,0.005,20,0.9506602380809589,0.08166215424176337,-1.63265633430045,0.04092781915031579
yacht,0.01,20,1.0165524996451554,0.08141173735300965,-1.7650524841965562,0.03315004586440126
yacht,0.05,20,1.367961648099093,0.1004921893893806,-2.1430423745513005,0.020583330872711705
yacht,0.1,20,1.6967946788682515,0.12888825775422696,-2.3625509924361126,0.020943237132849107
yacht,0.2,20,2.2614619696664398,0.14921283723124112,-2.6271420437135804,0.019118163963529045
energy,0.005,20,0.5890535288495325,0.01852841912613757,-0.9829484325515807,0.019007364213285628
energy,0.01,20,0.6261756921710071,0.01846200714960207,-1.1034650294498733,0.014815852290705313
energy,0.05,20,0.9661482876604632,0.034422572282759516,-1.5900611281402177,0.016497967978630453
