dataset,method,n,rmse_mean,rmse_sem,mae_mean,mae_sem,ll_mean,ll_sem,nll_mean,nll_sem,crps_mean,crps_sem,picp95_mean,picp95_sem,mpiw95_mean,mpiw95_sem,interval_score95_mean,interval_score95_sem,ece_reg_mean,ece_reg_sem,mean_var_aleatoric_mean,mean_var_aleatoric_sem,mean_var_epistemic_mean,mean_var_epistemic_sem,epi_ratio_mean,epi_ratio_sem,config_id,n_train,n_test
yacht,mcd,20,1.6967946788682515,0.12888825775422696,1.0495013559729591,0.07129199799745962,-2.3625509924361126,0.020943237132849107,2.3625509924361126,0.020943237132849107,1.1617114192121294,0.03438056371070353,0.9806451612903226,0.0049089413564689125,14.233004961817173,0.07141632520750195,15.757334505463641,0.5660259763358244,0.1742784380305602,0.0048415776741374235,7.944892570521811,0.07105495666454602,5.373825701940154,0.09409441357183838,0.4031090961739105,0.004380367442381078,epochs=2000,277,31
yacht,map,20,0.6852662895840487,0.0630941661792969,0.45619669242732364,0.03397105124470174,-1.3957146429481242,0.23630678018926068,1.3957146429481242,0.23630678018926068,0.349314814516775,0.0275334685645265,0.8983870967741936,0.015571870760768828,1.905560405034888,0.05455944477467554,5.247122184573801,0.763873385206133,0.11197792869269944,0.012998203529490228,0.2399946580605723,0.01373707054027222,0.0,0.0,0.0,0.0,epochs=2000,277,31
yacht,laplace,20,0.6852662895840487,0.0630941661792969,0.45619669242732364,0.03397105124470174,-0.8970446452623113,0.07839998076969794,0.8970446452623113,0.07839998076969794,0.34057575425821285,0.025085884936004502,0.9387096774193548,0.010951751051185156,2.255758751328279,0.051866819089248235,3.972908426020692,0.5147239014315538,0.11307300509337855,0.011648074334159113,0.2399946580605723,0.01373707054027222,0.10538564240020938,0.007820207602737012,0.30723891182980617,0.019971022757951484,epochs=2000,277,31
yacht,ensemble,20,0.5560756902282814,0.0514009474301816,0.3502730595831784,0.028763870818629533,-0.788411176042076,0.06676050559905505,0.788411176042076,0.06676050559905505,0.2837468377728275,0.01849899937478135,0.9661290322580646,0.007927529244281854,2.5049404173536938,0.04012434148582904,3.496720189373285,0.34493735308012446,0.12250424448217309,0.0071894163817266595,0.2464037081397589,0.00459034201797616,0.18244145134316955,0.013586337186298897,0.41529931016327415,0.018651456865019025,epochs=2000,277,31
yacht,bbb,20,0.8564492005235758,0.06233133853997797,0.5371280495384253,0.032339170568757826,-1.5706563585962638,0.026030847780644274,1.5706563585962638,0.026030847780644274,0.5436368142095352,0.01681481956720742,0.982258064516129,0.004362534858244341,6.6802268701933185,0.1747935261756208,7.270075945525482,0.3347655383298811,0.17578098471986411,0.0057961438134604805,1.7420008248312917,0.0893436983214217,1.2132550521981043,0.07621810853358328,0.4078903209183882,0.007723838073805128,"epochs=2000,K=32",277,31
yacht,gp,20,0.4356655183315576,0.033355114281341885,0.2511858789646751,0.01124934863364509,-0.1478165534893204,0.04372685158882509,0.1478165534893204,0.04372685158882509,0.18447818716326359,0.008419656886137505,0.9193548387096774,0.012272353391172296,1.055144268454415,0.04913211352612936,2.1983767987886123,0.16772000720926775,0.05867572156196939,0.004858483129359119,0.02297635567114608,0.0008549390670298102,0.10086283879983618,0.03291036406086274,0.7451437596921038,0.019215769697802525,epochs=2000,277,31
energy,mcd,20,1.1904043015296855,0.03563241020592082,0.9061555590234794,0.03211186871075558,-1.781506752663494,0.01256823672948892,1.781506752663494,0.01256823672948892,0.7231443478483558,0.01535894629912421,0.9941558441558442,0.0023974654692133406,7.687703595673679,0.05793279374505777,7.772799579982921,0.07068236712283762,0.10357826384142166,0.005127498724049534,2.521890088084551,0.038634918903828176,1.335740001955431,0.02424461937357223,0.3461714720490717,0.0030891757401821053,epochs=1000,691,77
energy,map,20,0.5062959887817904,0.012912613553085909,0.3809036599605947,0.007753032279149696,-0.8173548994669494,0.042237492506631294,0.8173548994669494,0.042237492506631294,0.2774348842627286,0.006049371874100856,0.8922077922077921,0.007364666404153212,1.575112850206263,0.014481693633527346,2.9045309629088742,0.15343322588913158,0.06571086807928912,0.005662634720583732,0.1617201482844018,0.0029746591911808838,0.0,0.0,0.0,0.0,epochs=1000,691,77
energy,laplace,20,0.5062959887817904,0.012912613553085909,0.3809036599605947,0.007753032279149696,-0.748966188442095,0.0301032977288946,0.748966188442095,0.0301032977288946,0.2758060991040245,0.00572377381023151,0.925974025974026,0.00618544727676894,1.774961850485018,0.015123959297300125,2.71043012163666,0.13488907063037156,0.06089883800410114,0.005433148056275446,0.1617201482844018,0.0029746591911808838,0.04471804118740834,0.0012233793815408101,0.21666177602065897,0.004399834711994094,epochs=1000,691,77
energy,ensemble,20,0.44203379205310106,0.014391368430936632,0.32104021866675614,0.00767708476392967,-0.6185352136372961,0.028430002681264426,0.6185352136372961,0.028430002681264426,0.23973134907539806,0.005576918516261574,0.962987012987013,0.004027737580360079,1.9120327194088667,0.018539753351243124,2.462324642554232,0.1054619124319099,0.06191387559808605,0.004433602589550703,0.17186969421246587,0.0022755458882420076,0.06951444494153018,0.0035403470907474136,0.28501441796139065,0.010506986350441986,epochs=1000,691,77
