dataset,input_dropout,n,mean_var_aleatoric_mean,mean_var_aleatoric_sem,var_aleatoric_ratio_to_true_mean,var_aleatoric_ratio_to_true_sem,rmse_in_range_mean,rmse_in_range_sem,ll_in_range_mean,ll_in_range_sem,mpiw95_in_range_mean,mpiw95_in_range_sem,picp95_in_range_mean,picp95_in_range_sem,mean_std_epi_in_range_mean,mean_std_epi_in_range_sem,mean_std_epi_extrapolation_mean,mean_std_epi_extrapolation_sem,dropout_p,epochs,n_parameters,true_var_aleatoric
sin_homo,False,3,0.039301017838007664,0.0014382726793586724,3.9301017838007724,0.143827267935867,0.14886801145196385,0.0023335021284632655,0.3378693920768067,0.013305969576390618,0.9247491610591333,0.012872380868932526,0.9944444444444445,0.0014698618394803202,0.12437298427843836,0.0015501079701385426,0.16581885978206304,0.0005188247591109874,0.1,2000,152,0.01
sin_homo,True,3,0.1026528398234471,0.0026766848488456274,10.265283982344712,0.26766848488456174,0.20299626033505733,0.005558792176553504,-0.12902299116732238,0.005759275493516528,1.5825035815407702,0.015322173408423245,1.0,0.0,0.23837060529628104,0.0010892689194261856,0.2589293177029581,0.00484783835821705,0.1,2000,152,0.01
sin_gap,False,3,0.04398748041473636,0.0006235438182808675,4.398748041473641,0.06235438182808774,0.1882770963542086,0.011836524414186237,0.1769931058223245,0.04302885038498076,0.9583406870251084,0.004871676468159212,0.9855555555555556,0.00709285851933535,0.12301916128525203,0.0007997061298426324,0.163529948379896,0.002139871146584503,0.1,2000,152,0.01
sin_gap,True,3,0.12373875460645993,0.0025814720677599713,12.373875460645992,0.2581472067759958,0.23462266011866703,0.003669427733335536,-0.22020305733635437,0.013701303992492374,1.6718671490414423,0.017845724653579226,1.0,0.0,0.23441236407148944,0.002330217592083172,0.2506691661100002,0.004952900388321855,0.1,2000,152,0.01
