dataset,method,seed,log_sigma2_raw,var_aleatoric,would_hit_old_bound
yacht,mcd,0,-3.357971191785232,0.0348058016580493,False
yacht,map,0,-6.816460900874019,0.0010955914759379,True
yacht,bbb,0,-6.345282179985804,0.0017550074448635,True
energy,mcd,0,-3.6459038693382793,0.0260978101795963,False
energy,map,0,-6.402037286707959,0.0016581756504639,True
energy,bbb,0,-6.010284909387522,0.0024533890872473,True
