dataset,collapsed,n,n_train_mean,n_train_sem,n_repeats_removed_mean,n_repeats_removed_sem,noise_level_mean,noise_level_sem,length_scale_mean,length_scale_sem,constant_value_mean,constant_value_sem,log_marginal_likelihood_mean,log_marginal_likelihood_sem,rmse_mean,rmse_sem,ll_mean,ll_sem,picp95_mean,picp95_sem,mpiw95_mean,mpiw95_sem,n_warnings_mean,n_warnings_sem,lbfgs_abnormal_mean,lbfgs_abnormal_sem,bound_warnings_mean,bound_warnings_sem,n_restarts_optimizer,n_train_full,n_test
energy,False,20,691.0,0.0,0.0,0.0,0.00145772770755408,1.4280258657889951e-05,11.70504920362224,0.01563285129931325,100000.0,0.0,770.3110953241322,2.695170159662444,0.4661581957267476,0.014984731621219728,-0.6654780044768723,0.03698451418616978,0.9233766233766234,0.005951397006436155,1.711803249975644,0.01016376525932742,2.55,0.16975214129336985,1.55,0.16975214129336985,1.0,0.0,5,691,77
energy,True,20,691.0,0.0,0.0,0.0,0.00145772770755408,1.4280258657889951e-05,11.70504920362224,0.01563285129931325,100000.0,0.0,770.3110953241322,2.695170159662444,0.4661581957267476,0.014984731621219728,-0.6654780044768723,0.03698451418616978,0.9233766233766234,0.005951397006436155,1.711803249975644,0.01016376525932742,2.55,0.16975214129336985,1.55,0.16975214129336985,1.0,0.0,5,691,77
wine_quality_red,False,20,1439.0,0.0,0.0,0.0,9.999999999999996e-06,0.0,0.6187099635208486,0.002648158142490958,1.0783026394375452,0.002295341315533058,-796.1993471134538,9.01791911017089,0.6518845045613249,0.014839195488768492,0.4242471159887856,0.055861324397161224,0.9487500000000001,0.005904948861136022,2.0690633635060576,0.024953475997591713,1.0,0.0,0.0,0.0,1.0,0.0,5,1439,160
wine_quality_red,True,20,1243.8,1.4628738838327793,195.2,1.4628738838327793,0.5727021997524149,0.0028433745439532276,3.5441951623433767,0.04494988314845683,0.842971468077468,0.01505115571489385,-1501.8627975155555,1.998902538428967,0.6238265132412066,0.00823453147885879,-0.9415387707407662,0.012425403632798268,0.9453125,0.003923481729481985,2.483087437908168,0.0051929075850254405,0.05,0.04999999999999999,0.05,0.04999999999999999,0.0,0.0,5,1439,160
