dataset,n_restarts_optimizer,n,n_warnings_mean,n_warnings_sem,lbfgs_abnormal_mean,lbfgs_abnormal_sem,bound_warnings_mean,bound_warnings_sem,constant_value_mean,constant_value_sem,length_scale_mean,length_scale_sem,noise_level_mean,noise_level_sem
energy,5,20,2.55,0.16975214129336985,1.55,0.16975214129336985,1.0,0.0,100000.0,0.0,11.70504920362224,0.01563285129931325,0.00145772770755408,1.4280258657889951e-05
wine_quality_red,5,20,1.0,0.0,0.0,0.0,1.0,0.0,1.0783026394375452,0.002295341315533058,0.6187099635208486,0.002648158142490958,9.999999999999996e-06,0.0
