dataset,hessian_structure,prior_precision_mode,n,mpiw95_mean,mpiw95_sem,mpiw95_in_range_mean,mpiw95_in_range_sem,mpiw95_extrapolation_mean,mpiw95_extrapolation_sem,picp95_in_range_mean,picp95_in_range_sem,picp95_extrapolation_mean,picp95_extrapolation_sem,rmse_in_range_mean,rmse_in_range_sem,ll_in_range_mean,ll_in_range_sem,mean_std_epi_in_range_mean,mean_std_epi_in_range_sem,mean_std_epi_extrapolation_mean,mean_std_epi_extrapolation_sem,epi_extrap_ratio_mean,epi_extrap_ratio_sem,n_failed
sin_homo,diag,fixed,3,0.5304663877434935,0.03700274864934184,0.518506416221557,0.03441304092632569,0.5484063450263985,0.04089320053343286,0.9855555555555555,0.006406979219261496,0.7033333333333333,0.03305088669175322,0.10406540059114407,0.0009856419558036057,0.7904659235454178,0.02473446529715941,0.07953255435610353,0.005775724279411473,0.0914877187817134,0.00829062594321101,1.1475124438686055,0.020064191196545324,0
sin_homo,diag,marglik,3,0.5288040682660186,0.036701670277926104,0.5170864762002191,0.034270971996187824,0.546380456364718,0.04035466317110111,0.985,0.0066666666666665994,0.7016666666666667,0.03282952600598701,0.10406540059114407,0.0009856419558036057,0.791458295429333,0.024530128742985716,0.07892717897820069,0.005728543412978076,0.09069629443817533,0.008099102386317536,1.1465257450340158,0.018948411491861175,0
sin_homo,diag,unregularised,3,0.5339766804107573,0.037048782413643754,0.5209400936786716,0.03476451180493597,0.553531560508886,0.04047810542818262,0.9866666666666667,0.005853140973807012,0.7083333333333334,0.03443996386628638,0.10406540059114407,0.0009856419558036057,0.7887310682153649,0.025211676554316664,0.08055962137131104,0.0059133279990812105,0.09348241970371678,0.008100131206149686,1.1583015658951192,0.014805269901078942,0
sin_homo,full,fixed,3,0.8194065926424886,0.03787978261096034,0.42047459026573836,0.026370486140174093,1.417804596207614,0.057869514585095205,0.9522222222222223,0.012260042494841087,0.9566666666666667,0.0030046260628866658,0.10406540059114407,0.0009856419558036057,0.8357728200293574,0.007809585107195816,0.018239489685843567,0.0010277557268619773,0.3338095425544598,0.012696964436150843,18.35244348339935,0.629007964307869,0
sin_homo,full,marglik,3,1.1488506482790837,0.06331304511669635,0.4210559228620225,0.02639554811153258,2.2405427364046755,0.11894739711900941,0.9527777777777778,0.012031337682059877,0.9741666666666666,0.003632415786283881,0.10406540059114407,0.0009856419558036057,0.8357689888736056,0.007844222375841012,0.01905456687113333,0.0010688928531280622,0.5499652223054579,0.028490014278924596,28.87879015796769,0.3068864649979909,0
sin_homo,kron,fixed,3,0.6208343118922406,0.029669274581584817,0.4287875708740194,0.026810020227152197,0.9089044234195723,0.033980936999228585,0.956111111111111,0.011954130439638893,0.9249999999999999,0.0074999999999999884,0.10406540059114407,0.0009856419558036057,0.834889152741082,0.008741849559820008,0.02794230256828023,0.001596474467421706,0.19773553984829254,0.005558268792497466,7.099170378149187,0.20002103809567395,0
sin_homo,kron,marglik,3,0.6781876456386354,0.0321120999180167,0.42931703587624365,0.026837165577384407,1.0514935602822228,0.04006552990632907,0.9566666666666667,0.011666666666666678,0.9500000000000001,0.007216878364870329,0.10406540059114407,0.0009856419558036057,0.8348773176783192,0.008776918317399504,0.0284392991669187,0.0016294601693265722,0.237577662943947,0.00739215028257941,8.377791167746278,0.20914416056071597,0
sin_homo,kron,unregularised,3,2.893960089538188,0.2613493124426714,0.43611573866302705,0.027318703584816452,6.580726615850928,0.6130136695203383,0.9594444444444444,0.011111111111111148,0.9991666666666666,0.0008333333333333156,0.10406540059114407,0.0009856419558036057,0.8340341989001745,0.009657013757475857,0.0341228113615821,0.0020602115576995625,1.6685365965599532,0.15581117509928424,48.72280019330461,1.6853449113409,0
sin_gap,diag,fixed,3,0.5178870701783578,0.030454177905902748,0.5153315767969386,0.029422747983317118,0.5217203102504865,0.03208563246206081,0.9816666666666666,0.005853140973807012,0.7008333333333333,0.013333333333333346,0.1064964435788421,0.0018586480967730749,0.7789181918860951,0.026765506232389987,0.07927151976609156,0.004197067972191859,0.08181005588014136,0.005402282605081621,1.0308861352881926,0.020350217053889823,0
sin_gap,diag,marglik,3,0.5163101683594801,0.030315155149248266,0.5139456883440764,0.029262024950051535,0.5198568883825857,0.031960126945028096,0.9811111111111112,0.006186404847588837,0.6966666666666667,0.014457792977414556,0.1064964435788421,0.0018586480967730749,0.7798202452859145,0.026645634088711113,0.0786785974717593,0.00413094780366393,0.08103448788027683,0.005328325501254362,1.0287679948071857,0.019225110795262342,0
sin_gap,diag,unregularised,3,0.5208603907422552,0.030052376747060607,0.5180039712619804,0.029137346349206096,0.5251450199626676,0.03154173417312369,0.9822222222222222,0.006406979219261537,0.7041666666666666,0.016666666666666684,0.1064964435788421,0.0018586480967730749,0.7772405378575152,0.026652559272761566,0.08039572224457131,0.004080860975820453,0.08320861592051809,0.005231110120506953,1.034044315148698,0.0213369960892727,0
sin_gap,full,fixed,3,0.8227170430035796,0.023960200204538623,0.4602040965015283,0.02190022795001269,1.3664864627566564,0.0488521879716439,0.9611111111111112,0.00894082052190616,0.96,0.006614378277661497,0.1064964435788421,0.0018586480967730749,0.7975494442338603,0.01695411792431768,0.041017656420246566,0.0006489490918884283,0.3200263798454146,0.012760185418970648,7.815592725824753,0.4349082397401192,0
sin_gap,full,marglik,3,1.150020263695009,0.04197803921355,0.4837721945045273,0.022412313367067355,2.149392367480732,0.0962612435837086,0.9638888888888889,0.008407081083567502,0.9791666666666666,0.0030046260628866558,0.1064964435788421,0.0018586480967730749,0.7786967165766688,0.01775577534411808,0.049596091501668466,0.0011685583496862143,0.5260738332011049,0.024432622045153386,10.637024998691023,0.7106378731804069,0
sin_gap,kron,fixed,3,0.6315777530808759,0.017289567642965874,0.46500035598470646,0.02235046835591072,0.8814438487251302,0.018888041810608172,0.9627777777777777,0.00894082052190616,0.9249999999999999,0.01909406539564934,0.1064964435788421,0.0018586480967730749,0.7976993027696541,0.01757591861125224,0.04738998210433807,0.0007494537880090731,0.18939038462557123,0.005652972586744646,4.000840735531198,0.1685153617022678,0
sin_gap,kron,marglik,3,0.6940545064709541,0.016374086880337122,0.4747472160208622,0.0222754158219824,1.0230154421460922,0.01814801914385789,0.965,0.00787635937708766,0.9491666666666667,0.013642254619787427,0.1064964435788421,0.0018586480967730749,0.7904188657689236,0.017784045607108574,0.051123778655978426,0.000888545429387032,0.22911688620108506,0.005532426133803332,4.487384025473286,0.1792066759650227,0
sin_gap,kron,unregularised,3,3.010156727769923,0.1534520544733246,0.6296807274006203,0.026583070567988285,6.580870728323877,0.3885546839807417,0.971111111111111,0.00640697921926147,0.9983333333333334,0.0016666666666666683,0.1064964435788421,0.0018586480967730749,0.6683674780080066,0.020458410477582085,0.10005126946597374,0.002820456645957981,1.6683008986203063,0.09956866830537685,16.705046106414887,1.149598290809392,0
