dataset,split_index,n_restarts_optimizer,n_train,n_test,n_warnings,lbfgs_abnormal,bound_warnings,warned,constant_value,length_scale,noise_level,constant_value_at_bound,length_scale_at_bound,noise_level_at_bound,log_marginal_likelihood,rmse,ll,picp95,mpiw95,timestamp,git_commit
energy,0,5,691,77,3,2,1,True,100000.00000000001,11.752258286964889,0.0015260720895161966,upper,no,no,757.8166401973901,0.38711035276442074,-0.4806186768489688,0.948051948051948,1.7366456317091064,2026-08-29T23:25:15.454195+00:00,1806733
energy,0,20,691,77,5,4,1,True,100000.00000000001,11.752258286964889,0.0015260720895161966,upper,no,no,757.8166401973901,0.38711035276442074,-0.4806186768489688,0.948051948051948,1.7366456317091064,2026-08-29T23:25:15.478261+00:00,1806733
