experiment_id,dataset,hessian_structure,prior_precision_mode,seed,status,failure,prior_precision,n_parameters,mpiw95,mpiw95_in_range,mpiw95_extrapolation,picp95_in_range,picp95_extrapolation,rmse_in_range,ll_in_range,mean_std_epi_in_range,mean_std_epi_extrapolation,epi_extrap_ratio,timestamp,git_commit
e6c,sin_homo,full,fixed,0,ok,,,152,0.7690560466997467,0.3980478045944682,1.3255684098576646,0.9416666666666667,0.955,0.10602958873777432,0.8241501535812816,0.01741495524539839,0.31197886805790814,17.9144226133078,2026-08-31T19:41:04.894733+00:00,1806733
e6c,sin_homo,full,fixed,1,ok,,,152,0.7955589048259623,0.3903480861355062,1.4033751328616462,0.9383333333333334,0.9525,0.10322802655306615,0.8506204178089063,0.01702112735902548,0.3334907818884463,19.592755218508618,2026-08-31T19:41:05.063429+00:00,1806733
e6c,sin_homo,full,fixed,2,ok,,,152,0.8936048264017569,0.47302788006724084,1.5244702459035309,0.9766666666666667,0.9625,0.10293858648259185,0.8325478886978843,0.02028238645310706,0.35595897771702517,17.55015261838164,2026-08-31T19:41:04.957062+00:00,1806733
e6c,sin_homo,full,marglik,0,ok,,,152,1.0839475094155144,0.39860880681163474,2.1119555633213336,0.9433333333333334,0.98,0.10602958873777432,0.8242826814277435,0.018197143292847617,0.5185751142970993,28.497611188286086,2026-08-31T19:41:05.192465+00:00,1806733
e6c,sin_homo,full,marglik,1,ok,,,152,1.0871411218692806,0.390899895146298,2.131502961953755,0.9383333333333334,0.9675,0.10322802655306615,0.8507665485736529,0.017787338095293374,0.5244772873426173,29.485990794845062,2026-08-31T19:41:05.187907+00:00,1806733
e6c,sin_homo,full,marglik,2,ok,,,152,1.275463313552456,0.47365906662813473,2.4781696839389378,0.9766666666666667,0.975,0.10293858648259185,0.8322577366194204,0.02117921922525918,0.6068432652766569,28.652768490771912,2026-08-31T19:41:05.262606+00:00,1806733
e6c,sin_homo,full,unregularised,0,failed,_LinAlgError: linalg.cholesky: The factorization could not be completed because the input is not positive-definite (the leading minor of order 14 is not positive-definite).,2026-08-31T19:41:09.529822+00:00,1806733
e6c,sin_homo,full,unregularised,1,failed,_LinAlgError: linalg.cholesky: The factorization could not be completed because the input is not positive-definite (the leading minor of order 21 is not positive-definite).,2026-08-31T19:41:09.729417+00:00,1806733
e6c,sin_homo,full,unregularised,2,failed,_LinAlgError: linalg.cholesky: The factorization could not be completed because the input is not positive-definite (the leading minor of order 21 is not positive-definite).,2026-08-31T19:41:09.786715+00:00,1806733
e6c,sin_homo,kron,fixed,0,ok,,,152,0.5943439735787862,0.40594919418421777,0.8769361426706388,0.945,0.91,0.10602958873777432,0.8251503257742124,0.026600997590778216,0.1918372138071279,7.211654869426108,2026-08-31T19:41:09.859891+00:00,1806733
