dataset,method,seed,epoch,val_nll,val_ll,val_rmse,mean_var_aleatoric,mean_var_epistemic,n_fit,n_val,n_train_full,batch_size,steps_per_epoch,total_steps,elbo_samples,run_aborted,max_epoch_measured,run_train_time_s,timestamp,git_commit
yacht,map,0,5,1.1372240178756887,-1.1372240178756887,0.6700484046945161,0.9775521784291631,0.0,222,55,277,128,2,10,,False,2000,3.9135181000456214,2026-08-27T09:49:57.132935+00:00,1806733
yacht,map,0,10,1.0737160124598863,-1.0737160124598863,0.6177235896184023,0.885865138131605,0.0,222,55,277,128,2,20,,False,2000,3.9135181000456214,2026-08-27T09:49:57.132935+00:00,1806733
yacht,map,0,20,1.0211517298218238,-1.0211517298218238,0.6186291372254458,0.7221510967611079,0.0,222,55,277,128,2,40,,False,2000,3.9135181000456214,2026-08-27T09:49:57.132935+00:00,1806733
yacht,map,0,50,0.7083456812979029,-0.7083456812979029,0.43816295623084683,0.41165970537116714,0.0,222,55,277,128,2,100,,False,2000,3.9135181000456214,2026-08-27T09:49:57.132935+00:00,1806733
yacht,map,0,100,-0.08565729486834919,0.08565729486834919,0.13206490062973938,0.11526722833168151,0.0,222,55,277,128,2,200,,False,2000,3.9135181000456214,2026-08-27T09:49:57.132935+00:00,1806733
yacht,map,0,200,-0.8903222568504514,0.8903222568504514,0.09814842494132552,0.012094249668508715,0.0,222,55,277,128,2,400,,False,2000,3.9135181000456214,2026-08-27T09:49:57.132935+00:00,1806733
yacht,map,0,500,-1.0449339542849947,1.0449339542849947,0.06016841183935681,0.001351408297477222,0.0,222,55,277,128,2,1000,,False,2000,3.9135181000456214,2026-08-27T09:49:57.132935+00:00,1806733
yacht,map,0,1000,-0.7906939923161804,0.7906939923161804,0.05627862520972737,0.0008742429753784444,0.0,222,55,277,128,2,2000,,False,2000,3.9135181000456214,2026-08-27T09:49:57.132935+00:00,1806733
yacht,map,0,2000,-0.3456435750741642,0.3456435750741642,0.05703254388284954,0.0006834608307252424,0.0,222,55,277,128,2,4000,,False,2000,3.9135181000456214,2026-08-27T09:49:57.132935+00:00,1806733
yacht,map,1,5,1.1349030664049382,-1.1349030664049382,0.692426931621339,0.9087805978821438,0.0,222,55,277,128,2,10,,False,2000,3.7990934998961166,2026-08-27T09:49:57.132935+00:00,1806733
yacht,map,1,10,1.046507045176059,-1.046507045176059,0.6098048670267207,0.8201466666470053,0.0,222,55,277,128,2,20,,False,2000,3.7990934998961166,2026-08-27T09:49:57.132935+00:00,1806733
yacht,map,1,20,0.9930972396051072,-0.9930972396051072,0.6071501038099366,0.6679125507846799,0.0,222,55,277,128,2,40,,False,2000,3.7990934998961166,2026-08-27T09:49:57.132935+00:00,1806733
yacht,map,1,50,0.5510275343984447,-0.5510275343984447,0.3203746234170055,0.3603618865807727,0.0,222,55,277,128,2,100,,False,2000,3.7990934998961166,2026-08-27T09:49:57.132935+00:00,1806733
yacht,map,1,100,-0.1619874776606947,0.1619874776606947,0.11881891079946043,0.09994804881613482,0.0,222,55,277,128,2,200,,False,2000,3.7990934998961166,2026-08-27T09:49:57.132935+00:00,1806733
yacht,map,1,200,-0.9480975207198403,0.9480975207198403,0.0895008627753513,0.012746051263743955,0.0,222,55,277,128,2,400,,False,2000,3.7990934998961166,2026-08-27T09:49:57.132935+00:00,1806733
yacht,map,1,500,-1.017754886493382,1.017754886493382,0.06449437844214805,0.001636405979990138,0.0,222,55,277,128,2,1000,,False,2000,3.7990934998961166,2026-08-27T09:49:57.132935+00:00,1806733
yacht,map,1,1000,-0.6518130442274017,0.6518130442274017,0.05563282324983263,0.0007679352703106402,0.0,222,55,277,128,2,2000,,False,2000,3.7990934998961166,2026-08-27T09:49:57.132935+00:00,1806733
yacht,map,1,2000,-0.17751821878571525,0.17751821878571525,0.05359097549194663,0.0005384391322966816,0.0,222,55,277,128,2,4000,,False,2000,3.7990934998961166,2026-08-27T09:49:57.132935+00:00,1806733
yacht,map,2,5,1.0922330372541604,-1.0922330372541604,0.622222856620466,0.934555639069974,0.0,222,55,277,128,2,10,,False,2000,3.866121400031261,2026-08-27T09:49:57.132935+00:00,1806733
yacht,map,2,10,1.0567054660141395,-1.0567054660141395,0.6130531616208786,0.8437496978520398,0.0,222,55,277,128,2,20,,False,2000,3.866121400031261,2026-08-27T09:49:57.132935+00:00,1806733
yacht,map,2,20,0.9860950049495522,-0.9860950049495522,0.591854691504576,0.6867862404926521,0.0,222,55,277,128,2,40,,False,2000,3.866121400031261,2026-08-27T09:49:57.132935+00:00,1806733
yacht,map,2,50,0.5749492216985264,-0.5749492216985264,0.33517612119097356,0.3714062453491072,0.0,222,55,277,128,2,100,,False,2000,3.866121400031261,2026-08-27T09:49:57.132935+00:00,1806733
yacht,map,2,100,-0.10303279707839812,0.10303279707839812,0.13759413896035785,0.10883854407799563,0.0,222,55,277,128,2,200,,False,2000,3.866121400031261,2026-08-27T09:49:57.132935+00:00,1806733
yacht,map,2,200,-1.0320814559216085,1.0320814559216085,0.07761822444075447,0.012452218534975143,0.0,222,55,277,128,2,400,,False,2000,3.866121400031261,2026-08-27T09:49:57.132935+00:00,1806733
yacht,map,2,500,-0.9512726406596108,0.9512726406596108,0.06102232194228486,0.0012724709738047373,0.0,222,55,277,128,2,1000,,False,2000,3.866121400031261,2026-08-27T09:49:57.132935+00:00,1806733
yacht,map,2,1000,0.2813790724227553,-0.2813790724227553,0.06644828629798616,0.000744950117222172,0.0,222,55,277,128,2,2000,,False,2000,3.866121400031261,2026-08-27T09:49:57.132935+00:00,1806733
yacht,map,2,2000,0.27583120799868566,-0.27583120799868566,0.05556493164378537,0.00048688376092673516,0.0,222,55,277,128,2,4000,,False,2000,3.866121400031261,2026-08-27T09:49:57.132935+00:00,1806733
yacht,mcd,0,5,1.1400353168303137,-1.1400353168303137,0.6687119406374908,0.9802648745316086,0.012478956692345493,222,55,277,128,2,10,,False,2000,4.379860499990173,2026-08-27T09:49:57.132935+00:00,1806733
yacht,mcd,0,10,1.0808721194494022,-1.0808721194494022,0.6230511716260182,0.8884630959558083,0.009298486214630464,222,55,277,128,2,20,,False,2000,4.379860499990173,2026-08-27T09:49:57.132935+00:00,1806733
yacht,mcd,0,20,1.0268932738037477,-1.0268932738037477,0.6220425714263652,0.7241141448117648,0.008174709734743107,222,55,277,128,2,40,,False,2000,4.379860499990173,2026-08-27T09:49:57.132935+00:00,1806733
yacht,mcd,0,50,0.7744474667763458,-0.7744474667763458,0.4806246491595359,0.42162441960795377,0.01875034277136486,222,55,277,128,2,100,,False,2000,4.379860499990173,2026-08-27T09:49:57.132935+00:00,1806733
yacht,mcd,0,100,0.32731156995925315,-0.32731156995925315,0.2640107208998162,0.1697499424565482,0.04498682949145472,222,55,277,128,2,200,,False,2000,4.379860499990173,2026-08-27T09:49:57.132935+00:00,1806733
yacht,mcd,0,200,-0.038393233891945704,0.038393233891945704,0.17783389063395702,0.07093542297888526,0.034223455518219835,222,55,277,128,2,400,,False,2000,4.379860499990173,2026-08-27T09:49:57.132935+00:00,1806733
yacht,mcd,0,500,-0.19763184006842244,0.19763184006842244,0.1510719902387403,0.04601039648032137,0.027149484007251562,222,55,277,128,2,1000,,False,2000,4.379860499990173,2026-08-27T09:49:57.132935+00:00,1806733
yacht,mcd,0,1000,-0.21086029839097897,0.21086029839097897,0.1466132653003547,0.045412938692036865,0.026504352661805796,222,55,277,128,2,2000,,False,2000,4.379860499990173,2026-08-27T09:49:57.132935+00:00,1806733
