dataset,dropout_p,split_index,epochs,rmse,ll,picp95,mpiw95,mean_var_aleatoric,mean_var_epistemic,timestamp,git_commit
yacht,0.005,0,2000,0.8936217466709313,-1.6778176660644928,1.0,7.140478840851244,1.8693246039996139,1.5023001246732133,2026-08-28T23:43:10.919985+00:00,1806733
yacht,0.005,1,2000,0.9219639754236564,-1.526533768521417,0.967741935483871,5.854470870119705,1.4355590267229397,0.8382621218988864,2026-08-28T23:43:10.969717+00:00,1806733
yacht,0.005,2,2000,0.5579988294174295,-1.4823725686494034,1.0,6.519644615247649,1.9635164384775121,0.8416003956504942,2026-08-28T23:43:21.748113+00:00,1806733
yacht,0.005,3,2000,1.0480821381661862,-1.6453287820897058,0.967741935483871,6.2413305372350125,1.572956449125919,1.0412639128185206,2026-08-28T23:43:21.843532+00:00,1806733
yacht,0.005,4,2000,1.246637651402856,-1.6844434382053541,0.967741935483871,6.237094071969944,1.7232076244373116,0.8430578154219196,2026-08-28T23:43:32.228297+00:00,1806733
yacht,0.005,5,2000,0.37996732975652964,-1.406260210399874,1.0,6.248071912736008,1.4877461330277877,1.1255033659339708,2026-08-28T23:43:32.858958+00:00,1806733
yacht,0.005,6,2000,0.40008317046566483,-1.5212129716804912,1.0,7.018443289769719,2.0918729450911666,1.1542526128103279,2026-08-28T23:43:43.690727+00:00,1806733
yacht,0.005,7,2000,1.6871088075715197,-2.0945700177927327,0.9354838709677419,6.151683064614796,1.5292566235426968,0.978368216826795,2026-08-28T23:43:44.344007+00:00,1806733
yacht,0.005,8,2000,0.38687649010535424,-1.452922572526453,1.0,6.5302278918434045,1.849957118794064,0.9814531873437052,2026-08-28T23:43:58.177256+00:00,1806733
yacht,0.005,9,2000,0.5108816758467541,-1.4314676049379307,1.0,6.266539844267941,1.4331022108875582,1.185517121637083,2026-08-28T23:43:59.560122+00:00,1806733
yacht,0.005,10,2000,1.1100860425775758,-1.6731433194293206,0.967741935483871,6.332839891407433,1.8999863970660724,0.7500780075186964,2026-08-28T23:44:10.878144+00:00,1806733
yacht,0.005,11,2000,1.163224002637516,-1.7094586325832053,0.9354838709677419,5.974122349850393,1.477528087077646,0.8994877715423102,2026-08-28T23:44:11.807428+00:00,1806733
yacht,0.005,12,2000,0.9653208803407629,-1.5829269868182936,0.967741935483871,6.164542198387457,1.4677356018964103,1.0673757602965162,2026-08-28T23:44:22.213520+00:00,1806733
yacht,0.005,13,2000,1.104737547315092,-1.6374421397247698,0.9354838709677419,5.898542241778523,1.481033776203644,0.8331371782075631,2026-08-28T23:44:23.316150+00:00,1806733
yacht,0.005,14,2000,1.0132152858318977,-1.5344941868103137,0.967741935483871,5.396493361132511,1.27520715757213,0.6492584520801334,2026-08-28T23:44:33.954070+00:00,1806733
yacht,0.005,15,2000,0.9986536625883687,-1.585619234588825,0.9354838709677419,5.407677918695062,1.2355088462868415,0.6989961759907369,2026-08-28T23:44:34.721278+00:00,1806733
yacht,0.005,16,2000,0.8572894690837405,-1.574781103514377,0.967741935483871,6.432106296652844,1.8062054282546356,0.9235217157028599,2026-08-28T23:44:45.712961+00:00,1806733
yacht,0.005,17,2000,0.9080111007867396,-1.5373145628720377,0.967741935483871,5.877973675797781,1.5175411690920297,0.7658920694852777,2026-08-28T23:44:46.496912+00:00,1806733
yacht,0.005,18,2000,1.3156906359260672,-1.8597643668970334,0.9354838709677419,6.0074432887289655,1.4443338698981214,0.9514556507077682,2026-08-28T23:44:58.320614+00:00,1806733
yacht,0.005,19,2000,1.5437543197045374,-2.0352525519029743,0.967741935483871,5.753832057075751,1.458506948784948,0.7326525503460927,2026-08-28T23:44:58.903565+00:00,1806733
yacht,0.01,0,2000,0.9197062959920875,-1.7513105881644357,1.0,7.843850962429677,2.1545462606953047,1.9122567231324692,2026-08-28T23:45:10.694398+00:00,1806733
yacht,0.01,1,2000,0.6846364882230552,-1.641403198377822,1.0,7.532969844137847,2.281010919422284,1.4531588913696283,2026-08-28T23:45:11.142031+00:00,1806733
yacht,0.01,2,2000,0.470866612369942,-1.617158772547815,1.0,7.693557131699384,2.483417207774532,1.4140843136904828,2026-08-28T23:45:22.626067+00:00,1806733
yacht,0.01,3,2000,1.2298399248957927,-1.8440073062025988,0.967741935483871,7.943089804125258,2.4308909022685588,1.7468576418507156,2026-08-28T23:45:23.137358+00:00,1806733
yacht,0.01,4,2000,1.0629655203330084,-1.7388272580184851,0.967741935483871,7.397578805998524,2.288724092514158,1.2969179263535089,2026-08-28T23:45:34.475685+00:00,1806733
