dataset,method,seed,epoch,on_grid,val_nll,val_ll,val_rmse,mean_var_aleatoric,mean_var_epistemic,n_fit,n_val,n_train_full,batch_size,steps_per_epoch,total_steps,elbo_samples,run_aborted,max_epoch_measured,run_train_time_s,timestamp,git_commit
kin8nm,bbb,0,5,True,0.645837451038248,-0.645837451038248,0.4511122657577042,0.2384287346788942,0.041705892396439175,5898,1475,7373,128,47,235,8,False,2000,698.2504183000419,2026-08-28T16:03:49.983803+00:00,1806733
kin8nm,bbb,0,10,True,0.5193684935812761,-0.5193684935812761,0.398309626569643,0.18233293714005097,0.03278456766526194,5898,1475,7373,128,47,470,8,False,2000,698.2504183000419,2026-08-28T16:03:49.983803+00:00,1806733
kin8nm,bbb,0,20,True,0.4572328638874336,-0.4572328638874336,0.3758111630098637,0.1621407444296072,0.02281156325263713,5898,1475,7373,128,47,940,8,False,2000,698.2504183000419,2026-08-28T16:03:49.983803+00:00,1806733
kin8nm,bbb,0,50,True,0.3428262889927046,-0.3428262889927046,0.3380842365737503,0.12644369044402562,0.012564558353731515,5898,1475,7373,128,47,2350,8,False,2000,698.2504183000419,2026-08-28T16:03:49.983803+00:00,1806733
kin8nm,bbb,0,100,True,0.30519451315467433,-0.30519451315467433,0.3277418525134311,0.11180493830599,0.0067069631051482675,5898,1475,7373,128,47,4700,8,False,2000,698.2504183000419,2026-08-28T16:03:49.983803+00:00,1806733
kin8nm,bbb,0,200,True,0.26929830744091815,-0.26929830744091815,0.3165705157526218,0.10248971925632476,0.0030688580756758634,5898,1475,7373,128,47,9400,8,False,2000,698.2504183000419,2026-08-28T16:03:49.983803+00:00,1806733
kin8nm,bbb,0,500,True,0.2474739421875211,-0.2474739421875211,0.3098771774869814,0.09261303368470683,0.0015201259030200632,5898,1475,7373,128,47,23500,8,False,2000,698.2504183000419,2026-08-28T16:03:49.983803+00:00,1806733
kin8nm,bbb,0,1000,True,0.22301103819997534,-0.22301103819997534,0.30243925559201845,0.09004903347726169,0.001285429383804887,5898,1475,7373,128,47,47000,8,False,2000,698.2504183000419,2026-08-28T16:03:49.983803+00:00,1806733
kin8nm,bbb,0,2000,True,0.21126619274422198,-0.21126619274422198,0.2988081287081095,0.08596421305964617,0.001003696561122964,5898,1475,7373,128,47,94000,8,False,2000,698.2504183000419,2026-08-28T16:03:49.983803+00:00,1806733
