dataset,method,seed,epochs,log_sigma2_raw,var_aleatoric,would_hit_old_bound,timestamp,git_commit
yacht,map,0,2000,-6.816460900874019,0.0010955914759379392,True,2026-08-27T09:05:52.592613+00:00,1806733
yacht,mcd,0,2000,-3.3579711917852317,0.03480580165804936,False,2026-08-27T09:05:58.861975+00:00,1806733
yacht,bbb,0,2000,-6.345282179985804,0.001755007444863565,True,2026-08-27T09:06:39.534875+00:00,1806733
energy,map,0,2000,-6.402037286707959,0.0016581756504639134,True,2026-08-27T09:06:51.514483+00:00,1806733
energy,mcd,0,2000,-3.6459038693382793,0.02609781017959636,False,2026-08-27T09:07:04.586986+00:00,1806733
energy,bbb,0,2000,-6.010284909387522,0.0024533890872473416,True,2026-08-27T09:08:29.201703+00:00,1806733
