dataset,method,seed,epoch,on_grid,val_nll,val_ll,val_rmse,mean_var_aleatoric,mean_var_epistemic,n_fit,n_val,n_train_full,batch_size,steps_per_epoch,total_steps,elbo_samples,run_aborted,max_epoch_measured,run_train_time_s,timestamp,git_commit
yacht,map,0,5,True,1.1372240178756887,-1.1372240178756887,0.6700484046945161,0.9775521784291631,0.0,222,55,277,128,2,10,,False,5000,11.51516479998827,2026-08-28T15:51:40.101745+00:00,1806733
yacht,map,0,10,True,1.0737160124598863,-1.0737160124598863,0.6177235896184023,0.885865138131605,0.0,222,55,277,128,2,20,,False,5000,11.51516479998827,2026-08-28T15:51:40.101745+00:00,1806733
yacht,map,0,20,True,1.0211517298218238,-1.0211517298218238,0.6186291372254458,0.7221510967611079,0.0,222,55,277,128,2,40,,False,5000,11.51516479998827,2026-08-28T15:51:40.101745+00:00,1806733
yacht,map,0,50,True,0.7083456812979029,-0.7083456812979029,0.43816295623084683,0.41165970537116714,0.0,222,55,277,128,2,100,,False,5000,11.51516479998827,2026-08-28T15:51:40.101745+00:00,1806733
yacht,map,0,100,True,-0.08565729486834919,0.08565729486834919,0.13206490062973938,0.11526722833168151,0.0,222,55,277,128,2,200,,False,5000,11.51516479998827,2026-08-28T15:51:40.101745+00:00,1806733
yacht,map,0,200,True,-0.8903222568504514,0.8903222568504514,0.09814842494132552,0.012094249668508715,0.0,222,55,277,128,2,400,,False,5000,11.51516479998827,2026-08-28T15:51:40.101745+00:00,1806733
yacht,map,0,500,True,-1.0449339542849947,1.0449339542849947,0.06016841183935681,0.001351408297477222,0.0,222,55,277,128,2,1000,,False,5000,11.51516479998827,2026-08-28T15:51:40.101745+00:00,1806733
yacht,map,0,1000,True,-0.7906939923161804,0.7906939923161804,0.05627862520972737,0.0008742429753784444,0.0,222,55,277,128,2,2000,,False,5000,11.51516479998827,2026-08-28T15:51:40.101745+00:00,1806733
yacht,map,0,2000,True,-0.3456435750741642,0.3456435750741642,0.05703254388284954,0.0006834608307252424,0.0,222,55,277,128,2,4000,,False,5000,11.51516479998827,2026-08-28T15:51:40.101745+00:00,1806733
yacht,map,0,5000,True,0.0444559303260822,-0.0444559303260822,0.053053104131425124,0.0004771623012972626,0.0,222,55,277,128,2,10000,,False,5000,11.51516479998827,2026-08-28T15:51:40.101745+00:00,1806733
yacht,map,1,5,True,1.1349030664049382,-1.1349030664049382,0.692426931621339,0.9087805978821438,0.0,222,55,277,128,2,10,,False,5000,10.679656399879605,2026-08-28T15:51:40.101745+00:00,1806733
yacht,map,1,10,True,1.046507045176059,-1.046507045176059,0.6098048670267207,0.8201466666470053,0.0,222,55,277,128,2,20,,False,5000,10.679656399879605,2026-08-28T15:51:40.101745+00:00,1806733
yacht,map,1,20,True,0.9930972396051072,-0.9930972396051072,0.6071501038099366,0.6679125507846799,0.0,222,55,277,128,2,40,,False,5000,10.679656399879605,2026-08-28T15:51:40.101745+00:00,1806733
yacht,map,1,50,True,0.5510275343984447,-0.5510275343984447,0.3203746234170055,0.3603618865807727,0.0,222,55,277,128,2,100,,False,5000,10.679656399879605,2026-08-28T15:51:40.101745+00:00,1806733
yacht,map,1,100,True,-0.1619874776606947,0.1619874776606947,0.11881891079946043,0.09994804881613482,0.0,222,55,277,128,2,200,,False,5000,10.679656399879605,2026-08-28T15:51:40.101745+00:00,1806733
yacht,map,1,200,True,-0.9480975207198403,0.9480975207198403,0.0895008627753513,0.012746051263743955,0.0,222,55,277,128,2,400,,False,5000,10.679656399879605,2026-08-28T15:51:40.101745+00:00,1806733
yacht,map,1,500,True,-1.017754886493382,1.017754886493382,0.06449437844214805,0.001636405979990138,0.0,222,55,277,128,2,1000,,False,5000,10.679656399879605,2026-08-28T15:51:40.101745+00:00,1806733
yacht,map,1,1000,True,-0.6518130442274017,0.6518130442274017,0.05563282324983263,0.0007679352703106402,0.0,222,55,277,128,2,2000,,False,5000,10.679656399879605,2026-08-28T15:51:40.101745+00:00,1806733
yacht,map,1,2000,True,-0.17751821878571525,0.17751821878571525,0.05359097549194663,0.0005384391322966816,0.0,222,55,277,128,2,4000,,False,5000,10.679656399879605,2026-08-28T15:51:40.101745+00:00,1806733
yacht,map,1,5000,True,1.4273949413129507,-1.4273949413129507,0.05383450162299276,0.0003197074612623529,0.0,222,55,277,128,2,10000,,False,5000,10.679656399879605,2026-08-28T15:51:40.101745+00:00,1806733
yacht,map,2,5,True,1.0922330372541604,-1.0922330372541604,0.622222856620466,0.934555639069974,0.0,222,55,277,128,2,10,,False,5000,10.534219500143081,2026-08-28T15:51:40.101745+00:00,1806733
yacht,map,2,10,True,1.0567054660141395,-1.0567054660141395,0.6130531616208786,0.8437496978520398,0.0,222,55,277,128,2,20,,False,5000,10.534219500143081,2026-08-28T15:51:40.101745+00:00,1806733
yacht,map,2,20,True,0.9860950049495522,-0.9860950049495522,0.591854691504576,0.6867862404926521,0.0,222,55,277,128,2,40,,False,5000,10.534219500143081,2026-08-28T15:51:40.101745+00:00,1806733
yacht,map,2,50,True,0.5749492216985264,-0.5749492216985264,0.33517612119097356,0.3714062453491072,0.0,222,55,277,128,2,100,,False,5000,10.534219500143081,2026-08-28T15:51:40.101745+00:00,1806733
yacht,map,2,100,True,-0.10303279707839812,0.10303279707839812,0.13759413896035785,0.10883854407799563,0.0,222,55,277,128,2,200,,False,5000,10.534219500143081,2026-08-28T15:51:40.101745+00:00,1806733
yacht,map,2,200,True,-1.0320814559216085,1.0320814559216085,0.07761822444075447,0.012452218534975143,0.0,222,55,277,128,2,400,,False,5000,10.534219500143081,2026-08-28T15:51:40.101745+00:00,1806733
yacht,map,2,500,True,-0.9512726406596108,0.9512726406596108,0.06102232194228486,0.0012724709738047373,0.0,222,55,277,128,2,1000,,False,5000,10.534219500143081,2026-08-28T15:51:40.101745+00:00,1806733
yacht,map,2,1000,True,0.2813790724227553,-0.2813790724227553,0.06644828629798616,0.000744950117222172,0.0,222,55,277,128,2,2000,,False,5000,10.534219500143081,2026-08-28T15:51:40.101745+00:00,1806733
yacht,map,2,2000,True,0.27583120799868566,-0.27583120799868566,0.05556493164378537,0.00048688376092673516,0.0,222,55,277,128,2,4000,,False,5000,10.534219500143081,2026-08-28T15:51:40.101745+00:00,1806733
