dataset,method,split_index,epochs,n_test,n_train,ll_all,rmse_all,dup_n,dup_ll,dup_rmse,dup_median_std,uniq_n,uniq_ll,uniq_rmse,uniq_median_std,dup_same_y_n,dup_same_y_ll,dup_same_y_rmse,dup_same_y_median_std,dup_diff_y_n,dup_diff_y_ll,dup_diff_y_rmse,dup_diff_y_median_std,ll_gap_dup_minus_uniq,ll_shift_from_dups,timestamp,git_commit
wine_quality_red,mcd,0,20,160,1439,-0.9646913451462227,0.6342737660806679,51,-0.8673735940277767,0.5711837942493894,0.6254029511272204,109,-1.0102253387887983,0.6617305390409333,0.6258215534109846,51,-0.8673735940277767,0.5711837942493894,0.6254029511272204,0,,,,0.14285174476102158,0.0455339936425756,2026-08-29T23:14:03.353296+00:00,1806733
wine_quality_red,mcd,1,20,160,1439,-0.954510344968918,0.6287609937458993,41,-0.9438141818599922,0.6214240109237459,0.6308226956343169,119,-0.9581955776366988,0.6312691105722453,0.6312193414436541,41,-0.9438141818599922,0.6214240109237459,0.6308226956343169,0,,,,0.014381395776706607,0.003685232667780869,2026-08-29T23:14:03.390643+00:00,1806733
wine_quality_red,mcd,2,20,160,1439,-1.0922654801328,0.708851247589667,43,-0.8190634302303224,0.5384826954010191,0.6225065453337846,117,-1.1926730711225992,0.7619519424462202,0.6236604495249617,43,-0.8190634302303224,0.5384826954010191,0.6225065453337846,0,,,,0.3736096408922769,0.10040759098979923,2026-08-29T23:14:03.427534+00:00,1806733
wine_quality_red,mcd,3,20,160,1439,-0.9499836527068748,0.625244001741731,37,-0.9663805727527554,0.6347214878875205,0.6302005092940983,123,-0.9450512458638052,0.6223648139909107,0.6294791437965523,37,-0.9663805727527554,0.6347214878875205,0.6302005092940983,0,,,,-0.021329326888950173,-0.004932406843069614,2026-08-29T23:14:03.456910+00:00,1806733
wine_quality_red,mcd,4,20,160,1439,-0.8637194039890161,0.5677888134715796,47,-0.8112551846450499,0.5291632342664527,0.6333734753057026,113,-0.8855408049550906,0.5831013864170328,0.6331724572954721,47,-0.8112551846450499,0.5291632342664527,0.6333734753057026,0,,,,0.07428562031004071,0.021821400966074433,2026-08-29T23:14:03.490249+00:00,1806733
wine_quality_red,mcd,5,20,160,1439,-0.9659547322316687,0.6362612292901623,46,-0.9687592120142178,0.6372128540741663,0.6312250030734669,114,-0.9648231000387105,0.6358768370717238,0.6317606518314608,46,-0.9687592120142178,0.6372128540741663,0.6312250030734669,0,,,,-0.0039361119755072504,-0.0011316321929581985,2026-08-29T23:14:03.526567+00:00,1806733
wine_quality_red,mcd,6,20,160,1439,-1.0745100101571938,0.6979236215935234,42,-0.9950601833262677,0.6533658707529434,0.6193721592813723,118,-1.102788762080066,0.7131116386784094,0.620312659379127,42,-0.9950601833262677,0.6533658707529434,0.6193721592813723,0,,,,0.10772857875379838,0.028278751922872214,2026-08-29T23:14:03.562985+00:00,1806733
wine_quality_red,mcd,7,20,160,1439,-1.02792175677824,0.6742420515430458,30,-0.9075232024958093,0.5972465995199031,0.627766458089899,130,-1.055706038535724,0.6907925773057485,0.6296711195866517,30,-0.9075232024958093,0.5972465995199031,0.627766458089899,0,,,,0.14818283603991467,0.02778428175748404,2026-08-29T23:14:03.600124+00:00,1806733
wine_quality_red,mcd,8,20,160,1439,-0.9043924855806365,0.5966381506846279,50,-0.7836193457515652,0.5092848886243426,0.6306887849365839,110,-0.9592893673211236,0.6323676891242955,0.6320268063258977,50,-0.7836193457515652,0.5092848886243426,0.6306887849365839,0,,,,0.17567002156955835,0.054896881740487125,2026-08-29T23:14:03.824880+00:00,1806733
wine_quality_red,mcd,9,20,160,1439,-0.9974442763442937,0.6562039436005096,42,-1.0082795460277831,0.662516096047937,0.631563524659134,118,-0.9935876549315262,0.6539425429559539,0.6319908972432974,42,-1.0082795460277831,0.662516096047937,0.631563524659134,0,,,,-0.014691891096256904,-0.003856621412767436,2026-08-29T23:14:03.853584+00:00,1806733
