dataset,epochs,seed,train_time_s,rmse_in_range,ll_in_range,picp95_in_range,mpiw95_in_range,median_std_epi_in_range,rmse_extrapolation,ll_extrapolation,picp95_extrapolation,mpiw95_extrapolation,median_std_epi_extrapolation,std_epi_at_m2,ratio_at_m2,std_epi_at_8,ratio_at_8,timestamp,git_commit,rmse_in_gap,ll_in_gap,picp95_in_gap,mpiw95_in_gap,median_std_epi_in_gap,gap_ratio
sin_homo,300,0,2.8394668999826536,0.12113606138466465,0.6619958610396627,0.9033333333333333,0.39764474537665523,0.01316575306142509,0.6335634257684862,-9.038699285956245,0.1175,0.53419059204701,0.08979871245739718,0.14723082271516127,11.18286375479267,0.14551886188641236,11.052832390786243,2026-08-26T09:40:59.523081+00:00,1806733,,,,,,
sin_homo,300,1,4.164930299972184,0.12228394131451437,0.6589182346159969,0.9,0.39986900697079136,0.019210869673590578,0.6167079377268727,-7.426887589850146,0.4225,0.5714595336481385,0.1023756210991927,0.18832326174994243,9.802953481529926,0.14961957067526813,7.7882768046129645,2026-08-26T09:41:03.728317+00:00,1806733,,,,,,
sin_homo,300,2,4.058660199982114,0.12983307740960168,0.5856080771031038,0.8833333333333333,0.4015143915487033,0.018522747391977012,0.6705977214439943,-6.884234764911672,0.5,0.6860393346725309,0.1366717289383947,0.2678479832063089,14.460488907942741,0.1940008892485867,10.473656264006316,2026-08-26T09:41:07.820950+00:00,1806733,,,,,,
sin_homo,600,0,9.519786999910139,0.107930442760629,0.8023188580266367,0.9266666666666666,0.39871070427339483,0.02084983133464126,0.33003575269258506,-3.2873291616612432,0.3975,0.47728745578581444,0.04124869349808241,0.1741664256763876,8.353373362163186,0.07263578918524807,3.483759077924351,2026-08-26T09:41:17.379754+00:00,1806733,,,,,,
sin_homo,600,1,9.275369299924932,0.10492170953751803,0.8357468037721738,0.95,0.4076297902336587,0.03150046386627192,0.3160039559528349,-2.2396907049432486,0.5375,0.4925479063282545,0.06575903564269114,0.1531129229513813,4.860656135140977,0.09628909054739473,3.056751511856087,2026-08-26T09:41:26.690982+00:00,1806733,,,,,,
sin_homo,600,2,9.273814400075935,0.10680685191028626,0.8142676870128454,0.9333333333333333,0.39530745915522486,0.012801362425635211,0.3636256671808334,-3.4827712168860274,0.46,0.4948731980132722,0.058946674071422706,0.17655113280875323,13.791589280778656,0.10271320324532486,8.023614973952913,2026-08-26T09:41:35.999941+00:00,1806733,,,,,,
sin_homo,1000,0,15.337056499905884,0.10485938579962747,0.8341143832806277,0.935,0.3940351927799923,0.009891759081610503,0.24428201728917662,-1.354217324810365,0.555,0.4509971594479103,0.032425456232191084,0.14878741762948655,15.041552913080258,0.06557157508755551,6.628909433253163,2026-08-26T09:41:51.370425+00:00,1806733,,,,,,
sin_homo,1000,1,14.790238499990664,0.10403325572881089,0.8435901363953473,0.94,0.39963628630538894,0.020984119352799566,0.21651079530142478,-0.6041898185105119,0.625,0.4511328389240037,0.04329574121281053,0.12322511290343424,5.872303280003711,0.06771704411782156,3.2270615211110676,2026-08-26T09:42:06.195969+00:00,1806733,,,,,,
sin_homo,1000,2,15.608031500014476,0.10411241561320307,0.8435483616095315,0.95,0.4056725886929195,0.02894892802906227,0.2765224988590788,-1.0728052287732417,0.535,0.49145556397252294,0.06308213880085854,0.15710612975332902,5.427010271178531,0.10784960595344659,3.7255129393798185,2026-08-26T09:42:21.841364+00:00,1806733,,,,,,
sin_homo,2000,0,34.347719299956225,0.10426925608901337,0.8394716494132295,0.9366666666666666,0.39972114031076145,0.020422461735083906,0.20192454231640358,-0.5229411208529573,0.6375,0.4213316449979234,0.02720283353334764,0.09913658367082083,4.854291561751996,0.054502766367933386,2.6687657479755567,2026-08-26T09:42:56.225497+00:00,1806733,,,,,,
