experiment_id,dataset,method,config_id,split_index,init_seed,n_train,n_test,split_type,rmse,mae,ll,nll,crps,picp95,mpiw95,interval_score95,ece_reg,qice,mean_var_aleatoric,mean_var_epistemic,epi_ratio,train_time_s,predict_time_ms_per_1k,n_parameters,torch_threads,timestamp,git_commit
e2_uci,kin8nm,gp,epochs=1000,0,0,7373,819,random,0.070872174179343,0.0544405133320471,1.224193553059817,-1.224193553059817,0.039247854925967,0.934065934065934,0.2679274065825313,0.3694168305433846,0.0100893258787995,,0.003342261088387,0.0013850652467035,0.2929912488635067,1868.1797605000904,417.2391941604888,3,not_applicable,2026-08-28T18:08:11.421593+00:00,1806733
e2_uci,yacht,gp,epochs=2000,0,0,277,31,random,0.5785596426665482,0.2829367706768369,-0.3373600420949462,0.3373600420949462,0.221483739481158,0.9032258064516128,0.9098953680580988,3.9280008922448055,0.0348047538200339,,0.0170960898122717,0.0569549764880048,0.7691310785053758,0.9744851998984814,22.612910176957804,3,not_applicable,2026-08-28T18:16:09.753836+00:00,1806733
e2_uci,yacht,gp,epochs=2000,1,1,277,31,random,0.3398037718143567,0.2324975551923156,0.0748380141721962,-0.0748380141721962,0.1572714210129496,1.0,1.0891876589766498,1.08918765897665,0.0641765704584041,,0.02593103466133,0.0721067561312904,0.7354996022280629,0.7266277000308037,25.35161442093311,3,not_applicable,2026-08-28T18:16:10.535951+00:00,1806733
e2_uci,yacht,gp,epochs=2000,2,2,277,31,random,0.3499298640915326,0.1845460557669775,0.0197929774236862,-0.0197929774236862,0.1516147691811503,0.935483870967742,1.1221748778273004,1.884400322802689,0.0679117147707979,,0.0272165155911235,0.0858321088380066,0.7592494758024633,0.6968562000001839,21.30000000526648,3,not_applicable,2026-08-29T19:59:49.430351+00:00,1806733
e2_uci,yacht,gp,epochs=2000,3,3,277,31,random,0.489213624209541,0.2917173401806344,-0.3980281850267347,0.3980281850267347,0.2201059090096363,0.8387096774193549,0.9411318395135178,2.924998987821265,0.031918505942275,,0.0166113446091052,0.0577783837752526,0.7766984102525879,0.449033199999576,23.061290331468392,3,not_applicable,2026-08-29T19:59:49.930213+00:00,1806733
e2_uci,yacht,gp,epochs=2000,4,4,277,31,random,0.4856896567121512,0.2901862984118295,-0.1273002978901356,0.1273002978901356,0.2043727786671136,0.967741935483871,1.165746835515545,2.26538907156723,0.0599320882852292,,0.0238882194214524,0.0942015233210075,0.7977113094949329,0.6514022000001205,21.22258064768938,3,not_applicable,2026-08-29T19:59:50.626827+00:00,1806733
e2_uci,yacht,gp,epochs=2000,5,5,277,31,random,0.3463260064692062,0.2581200347677425,-0.2299225036608449,0.2299225036608449,0.1833265724895179,0.935483870967742,1.1048730204922044,1.570522185125244,0.0517826825127334,,0.0232315867171969,0.0798080058012445,0.7745372807735134,0.5663260999999693,16.806451610811507,3,not_applicable,2026-08-29T19:59:51.237083+00:00,1806733
e2_uci,yacht,gp,epochs=2000,6,6,277,31,random,0.3076888524253047,0.214362159486307,-0.3905199938324645,0.3905199938324645,0.1617609012153424,0.8387096774193549,0.8590233402347957,2.471241693195098,0.0670628183361629,,0.020363659826531,0.0375192122370525,0.6481919590278485,0.603948599999967,20.029032267273344,3,not_applicable,2026-08-29T19:59:51.886966+00:00,1806733
e2_uci,yacht,gp,epochs=2000,7,7,277,31,random,0.3645575405324495,0.2446809570904492,-0.2649238716247601,0.2649238716247601,0.1774147623176995,0.8709677419354839,0.9963285366541518,2.117295904240676,0.0252971137521222,,0.0274937214768302,0.0493225249840157,0.642084549251647,0.558302200000071,23.23870968769282,3,not_applicable,2026-08-29T19:59:52.490238+00:00,1806733
e2_uci,yacht,gp,epochs=2000,8,8,277,31,random,0.296730739007834,0.2270546460915703,-0.1912752556519179,0.1912752556519179,0.1606542070314867,0.935483870967742,0.935012196955758,1.5971437234773649,0.0395585738539898,,0.0223805144837003,0.0473832455065179,0.6791956957761685,0.9242798000004768,20.600000014735176,3,not_applicable,2026-08-29T19:59:53.458448+00:00,1806733
