experiment_id,dataset,method,config_id,split_index,init_seed,n_train,n_test,split_type,rmse,mae,ll,nll,crps,picp95,mpiw95,interval_score95,ece_reg,qice,mean_var_aleatoric,mean_var_epistemic,epi_ratio,train_time_s,predict_time_ms_per_1k,n_parameters,timestamp,git_commit
e2_uci,kin8nm,laplace,epochs=1000,0,0,7373,819,random,0.07320181068400226,0.05711356519869074,1.1944638159986134,-1.1944638159986134,0.040793854880585505,0.9267399267399268,0.273634163657452,0.36802192177108245,0.06596619754514486,,0.004613153845200337,0.0002604976136897209,0.05345019353293012,67.33452360006049,217.6210014729491,502,2026-08-28T17:37:02.813920+00:00,1806733
e2_uci,kin8nm,gp,epochs=1000,0,0,7373,819,random,0.070872174179343,0.05444051333204711,1.224193553059817,-1.224193553059817,0.03924785492596706,0.9340659340659341,0.26792740658253134,0.36941683054338464,0.01008932587879953,,0.0033422610883870585,0.001385065246703538,0.29299124886350675,1868.1797605000902,417.23919416048875,3,2026-08-28T18:08:11.421593+00:00,1806733
e2_uci,wine_quality_red,mcd,epochs=20,0,0,1439,160,random,0.6342737660806679,0.4982329669934158,-0.9646913451462227,0.9646913451462227,0.35516395876114404,0.925,2.4546116337623713,3.230450759086465,0.021710526315789486,,0.38281988924616606,0.009303677164025418,0.02372639127303319,0.3103361001703888,172.02187445946038,652,2026-08-28T18:08:11.853774+00:00,1806733
e2_uci,yacht,map,epochs=2000,0,0,277,31,random,0.7144540613947936,0.43947700021682684,-1.2464021371312712,1.2464021371312712,0.35158942607749316,0.8709677419354839,1.9604881520330664,5.576573600465641,0.07198641765704586,,0.2501337365349873,0.0,0.0,6.452946500154212,8.735490301924369,402,2026-08-28T18:09:24.042879+00:00,1806733
e2_uci,yacht,map,epochs=2000,1,1,277,31,random,0.4567256467227556,0.32145176527676983,-0.6818773412660735,0.6818773412660735,0.2553021028912386,0.9354838709677419,2.2592169196694964,2.3234345462335266,0.10696095076400675,,0.33216945230709644,0.0,0.0,6.7388342001941055,8.151611132967856,402,2026-08-28T18:09:30.850287+00:00,1806733
e2_uci,yacht,ensemble,epochs=2000,0,0,277,31,random,0.5411465638902783,0.35759034187788513,-0.7467981224120083,0.7467981224120083,0.2761825698104246,0.967741935483871,2.6223349927758037,3.2983925377965417,0.16129032258064516,,0.2607972779481146,0.19684275815127664,0.4301257377501953,33.41637260001153,26.84193332829783,2010,2026-08-28T18:10:04.333843+00:00,1806733
e2_uci,yacht,ensemble,epochs=2000,1,1,277,31,random,0.5186558323008877,0.3280434309392015,-0.6695190488028457,0.6695190488028457,0.2622029821222356,0.9354838709677419,2.2921878959910935,2.8039424085402778,0.10016977928692695,,0.23939338144342354,0.1080762477845078,0.3110379690583331,33.61422059987672,25.077422540034014,2010,2026-08-28T18:10:38.007039+00:00,1806733
e2_uci,yacht,bbb,"epochs=2000,K=32",0,0,277,31,random,1.0093937131576474,0.4734746405639168,-1.5751238777714458,1.5751238777714458,0.5640852451905773,0.967741935483871,6.621143388706845,7.0980892234210335,0.18166383701188452,,1.6795884050088001,1.1860564508436793,0.4138881510112489,164.62872590008192,654.6322631859972,803,2026-08-28T18:13:22.718507+00:00,1806733
e2_uci,yacht,bbb,"epochs=2000,K=32",1,1,277,31,random,0.665205761615187,0.38827345009568,-1.571394209909284,1.571394209909284,0.5063317788459333,1.0,7.060740050817883,7.060740050817883,0.18336162988115448,,1.8295335249133136,1.422801694462021,0.4374708012832989,165.92000170005485,734.7580601250933,803,2026-08-28T18:16:08.720987+00:00,1806733
e2_uci,yacht,gp,epochs=2000,0,0,277,31,random,0.5785596426665482,0.2829367706768369,-0.33736004209494624,0.33736004209494624,0.22148373948115807,0.9032258064516129,0.9098953680580989,3.9280008922448055,0.03480475382003394,,0.017096089812271783,0.056954976488004884,0.7691310785053758,0.9744851998984814,22.612910176957804,3,2026-08-28T18:16:09.753836+00:00,1806733
e2_uci,yacht,gp,epochs=2000,1,1,277,31,random,0.3398037718143567,0.2324975551923156,0.07483801417219625,-0.07483801417219625,0.15727142101294964,1.0,1.0891876589766498,1.08918765897665,0.0641765704584041,,0.02593103466133008,0.07210675613129044,0.7354996022280629,0.7266277000308037,25.35161442093311,3,2026-08-28T18:16:10.535951+00:00,1806733
e2_uci,yacht,mcd,epochs=2000,0,0,277,31,random,1.3889381212903749,0.6883971072673077,-2.316863078406825,2.316863078406825,1.0722731419097553,1.0,14.456731883794589,14.456731883794589,0.19015280135823426,,7.946488643835237,5.790537739774823,0.4215277439288927,7.328976700082421,495.35806230720016,402,2026-08-28T18:16:34.726118+00:00,1806733
