dataset,method,median_in_range,ratio_at_m2,ratio_at_8,gap_ratio,std_epi_at_m2,std_epi_at_8,note
sin_homo,map,0.0,,,,0.0,0.0,zero by construction
sin_homo,mcd,0.11964459431975205,1.2743694876684502,1.3059068316812434,,0.152471420365562,0.1562446930958951,
sin_homo,ensemble,0.02042246173508385,4.8542915617520075,2.6687657479755598,,0.0991365836708208,0.0545027663679333,
sin_homo,gp,0.0136308375675539,38.51003009758525,38.51003009758521,,0.5249239649817964,0.5249239649817958,
sin_homo,laplace,0.01685718027882175,53.05013172339457,52.401452968989815,,0.894275634276503,0.8833407395704606,
sin_homo,bbb,0.08767398890395214,0.986806750469939,1.4798118063662662,,0.0865172840910465,0.1297410038912934,
sin_hetero,map,0.0,,,,0.0,0.0,zero by construction
sin_hetero,mcd,0.14381535416979963,1.2234834307848066,1.2431069492341722,,0.1759557029191985,0.1787778661750516,
sin_hetero,ensemble,0.036171838997060904,2.8439371801659354,2.7765679869430664,,0.1028704377987176,0.1004335701880981,
sin_hetero,gp,0.01776447302054105,31.558337243110437,31.558337243110405,,0.5606172305283712,0.5606172305283706,
sin_hetero,laplace,0.02144134097577095,48.190857297698386,24.653903192244236,,1.033276603234671,0.5286127447285566,
sin_hetero,bbb,0.1163879449611223,0.9581677402457476,1.5372748845840367,,0.111519174215245,0.1789202646570825,
sin_gap,map,0.0,,,,0.0,0.0,zero by construction
sin_gap,mcd,0.12543515779117836,1.0710997717675463,1.2508430851828831,0.6762654576990812,0.1343535688817573,0.1568996997619193,
sin_gap,ensemble,0.01958596239590155,6.415216914439092,6.060980568584581,1.4141974357193279,0.1256481972477556,0.1187101374985876,
sin_gap,gp,0.0136040462438675,39.574210387147446,39.574210387147446,3.2662294747971696,0.5383693881712954,0.5383693881712954,
sin_gap,laplace,0.0164446584978326,55.053152458823575,60.92192007248675,7.318266627614467,0.9053302914144667,1.0018401706242976,
sin_gap,bbb,0.080524545901726,0.8684084318075542,1.484228231982081,1.0612884349145266,0.0699281946285333,0.1195168043948787,
