dataset,method,n_train_full,n_fit,steps_per_epoch,steps_per_epoch_full,chosen_epochs,total_steps,total_steps_full,best_epochs,best_val_nll,chosen_val_nll,chosen_val_nll_seed_std,excess_nats
yacht,map,277,222,2,3,1000,2000,3000,1000,-1.3895615876325291,-1.3895615876325291,0.08994542417162332,0.0
energy,map,691,553,5,6,1000,5000,6000,1000,-1.5924345947459804,-1.5924345947459804,0.10163730335821611,0.0
concrete,map,927,742,6,8,100,600,800,100,0.3406536550856445,0.3406536550856445,0.052594430413814244,0.0
wine_quality_red,map,1439,1151,9,12,50,450,600,50,1.2539939919380227,1.2539939919380227,0.030046895429410605,0.0
kin8nm,map,7373,5898,47,58,200,9400,11600,2000,0.14412780511971038,0.15633812206876752,0.02135603162374087,0.012210316949057137
power_plant,map,8611,6889,54,68,50,2700,3400,1000,-0.03927849431453808,-0.021536242575493744,0.0038179781608649595,0.017742251739044337
