experiment_id,dataset,method,input_dropout,seed,dropout_p,epochs,n_parameters,mean_var_aleatoric,true_var_aleatoric,var_aleatoric_ratio_to_true,rmse_in_range,ll_in_range,mpiw95_in_range,picp95_in_range,mean_std_epi_in_range,mean_std_epi_extrapolation,timestamp,git_commit
input_dropout_ablation,sin_homo,mcd,False,0,0.1,2000,152,0.03771376608587118,0.010000000000000002,3.771376608587117,0.14518807522112728,0.352434256457923,0.9165954019723762,0.995,0.1263920244133864,0.1668377034827534,2026-09-03T23:26:34.147399+00:00,dbb0b39
input_dropout_ablation,sin_homo,mcd,False,1,0.1,2000,152,0.03801705886452755,0.010000000000000002,3.8017058864527544,0.14822217013113026,0.34987542854690873,0.9076781866387894,0.9916666666666667,0.12132603645583712,0.16513912784049484,2026-09-03T23:26:34.499677+00:00,dbb0b39
input_dropout_ablation,sin_homo,mcd,False,2,0.1,2000,152,0.042172228563624466,0.010000000000000002,4.217222856362445,0.15319378900363423,0.3112984912255885,0.949973894566234,0.9966666666666667,0.1254008919660916,0.16547974802294094,2026-09-03T23:26:34.208461+00:00,dbb0b39
input_dropout_ablation,sin_homo,mcd,True,0,0.1,2000,152,0.10609718498657904,0.010000000000000002,10.609718498657902,0.19194709034405869,-0.1250168143468781,1.6057493035672268,1.0,0.2405438748086228,0.26852909735172287,2026-09-03T23:26:34.308997+00:00,dbb0b39
input_dropout_ablation,sin_homo,mcd,True,1,0.1,2000,152,0.09738154197809766,0.010000000000000002,9.738154197809765,0.20745435891768138,-0.12167350383109041,1.553588112295268,1.0,0.2374151004624315,0.2553074700100691,2026-09-03T23:26:43.748210+00:00,dbb0b39
input_dropout_ablation,sin_homo,mcd,True,2,0.1,2000,152,0.10447979250566473,0.010000000000000002,10.44797925056647,0.20958733174343203,-0.14037865532399868,1.5881733287598159,1.0,0.23715284061778882,0.2529513857470823,2026-09-03T23:26:43.970505+00:00,dbb0b39
input_dropout_ablation,sin_gap,mcd,False,0,0.1,2000,152,0.042852349845687324,0.010000000000000002,4.285234984568731,0.17801373517308938,0.2150355410698122,0.9512716893104016,0.99,0.12399947340547214,0.16597618323819247,2026-09-03T23:26:43.790638+00:00,dbb0b39
input_dropout_ablation,sin_gap,mcd,False,1,0.1,2000,152,0.04410779898506777,0.010000000000000002,4.410779898506775,0.21188328623655467,0.09112111605128459,0.9560681515004944,0.9716666666666667,0.12143455066119892,0.15926559816855307,2026-09-03T23:26:43.891932+00:00,dbb0b39
input_dropout_ablation,sin_gap,mcd,False,2,0.1,2000,152,0.045002292413454145,0.010000000000000002,4.500229241345414,0.1749342676529819,0.2248226603458768,0.9676822202644292,0.995,0.12362345978908516,0.16534806373294267,2026-09-03T23:26:52.953787+00:00,dbb0b39
input_dropout_ablation,sin_gap,mcd,True,0,0.1,2000,152,0.1283618114414438,0.010000000000000002,12.836181144144376,0.24144630978261578,-0.24754245187030516,1.7036924435613883,1.0,0.23840015368404857,0.2605467206917031,2026-09-03T23:26:53.059084+00:00,dbb0b39
input_dropout_ablation,sin_gap,mcd,True,1,0.1,2000,152,0.11943662245259644,0.010000000000000002,11.943662245259642,0.23355016288630023,-0.20492235939532558,1.641962624252949,1.0,0.23032971543006417,0.246377770765164,2026-09-03T23:26:53.400798+00:00,dbb0b39
input_dropout_ablation,sin_gap,mcd,True,2,0.1,2000,152,0.12341782992533962,0.010000000000000002,12.34178299253396,0.22887150768708514,-0.20814436074343254,1.6699463793099891,1.0,0.23450722310035577,0.24508300687313356,2026-09-03T23:26:53.366375+00:00,dbb0b39
