experiment_id,dataset,method,activation,seed,n_parameters,mean_std_epi_in_range,mean_std_epi_extrapolation,epi_extrap_ratio,std_epi_at_edge,mpiw95_in_range,mpiw95_extrapolation,picp95_in_range,picp95_extrapolation,rmse_in_range,ll_in_range,timestamp,git_commit
e6d,sin_homo,map,relu,0,152,0.0,0.0,,0.0,0.37138452160423935,0.3713845216042394,0.93,0.495,0.10390348509851156,0.836286137780309,2026-08-31T19:42:33.011642+00:00,1806733
e6d,sin_homo,map,relu,1,152,0.0,0.0,,0.0,0.3681036709357498,0.3681036709357498,0.9333333333333333,0.34,0.10215770502240507,0.854789213768817,2026-08-31T19:42:32.916495+00:00,1806733
e6d,sin_homo,map,relu,2,152,0.0,0.0,,0.0,0.4171597929270913,0.4171597929270912,0.96,0.3375,0.09932638955181018,0.885858070683114,2026-08-31T19:42:33.273669+00:00,1806733
e6d,sin_homo,map,tanh,0,152,0.0,0.0,,0.0,0.3919684750294507,0.3919684750294507,0.94,0.61,0.10602958873777432,0.8215251629223305,2026-08-31T19:42:33.375905+00:00,1806733
e6d,sin_homo,map,tanh,1,152,0.0,0.0,,0.0,0.38441495692517474,0.3844149569251748,0.9366666666666666,0.5325,0.10322802655306615,0.8491532671986557,2026-08-31T19:42:33.221944+00:00,1806733
e6d,sin_homo,map,tanh,2,152,0.0,0.0,,0.0,0.466073692232441,0.46607369223244094,0.975,0.515,0.10293858648259185,0.835768860255244,2026-08-31T19:42:33.475895+00:00,1806733
e6d,sin_homo,mcd,relu,0,152,0.11930119663441582,0.5025791629018443,4.212691717099349,0.9243374450615995,0.9253414718253535,2.135448884387402,1.0,1.0,0.1302458560062825,0.3905285515190877,2026-08-31T19:42:41.562279+00:00,1806733
e6d,sin_homo,mcd,relu,1,152,0.107532564642266,0.4633091102388792,4.308547013457672,0.7755352690789639,0.8394000682704659,1.9561432730247923,0.995,1.0,0.12621027347350744,0.4447928817390385,2026-08-31T19:42:41.566585+00:00,1806733
e6d,sin_homo,mcd,relu,2,152,0.10519766761704716,0.26027249462852026,2.4741279966015464,0.052874295354485915,1.065059542823425,1.5157331986225209,0.98,0.5025,0.19667828281197097,0.0844441200869886,2026-08-31T19:42:42.074381+00:00,1806733
e6d,sin_homo,mcd,tanh,0,152,0.1263920244133864,0.1668377034827534,1.3200018296809821,0.1619187092438906,0.9165954019723762,1.0044742568587928,0.995,0.2525,0.14518807522112728,0.352434256457923,2026-08-31T19:42:42.285739+00:00,1806733
e6d,sin_homo,mcd,tanh,1,152,0.12132603645583712,0.16513912784049484,1.3611186243655604,0.18357853867960322,0.9076781866387894,1.0023834677296726,0.9916666666666667,0.35,0.14822217013113026,0.34987542854690873,2026-08-31T19:42:42.441995+00:00,1806733
e6d,sin_homo,mcd,tanh,2,152,0.1254008919660916,0.16547974802294094,1.3196058291809172,0.18573949576972398,0.949973894566234,1.0346771477040009,0.9966666666666667,0.4375,0.15319378900363423,0.3112984912255885,2026-08-31T19:42:42.538738+00:00,1806733
e6d,sin_homo,bbb,relu,0,303,0.061983298227030206,0.8235808116422308,13.287140813734185,0.15251004080328823,0.5375018466695024,3.361417259686165,0.985,0.7825,0.10684508836642588,0.7647865771320157,2026-08-31T19:45:45.173847+00:00,1806733
e6d,sin_homo,bbb,relu,1,303,0.09193800428300611,1.127148012049261,12.259870342406419,0.15647210280675256,0.6327082296284756,4.558126761210807,0.9916666666666667,0.795,0.10364196356431114,0.698926587232897,2026-08-31T19:45:46.435191+00:00,1806733
e6d,sin_homo,bbb,relu,2,303,0.08087245024715395,0.9720207147784694,12.019182203678522,0.11255666972022174,0.6171250569837088,3.9833085888071174,0.9966666666666667,0.8775,0.10320259529290826,0.7176010943102027,2026-08-31T19:45:45.404277+00:00,1806733
e6d,sin_homo,bbb,tanh,0,303,0.1280545283934086,0.14280827022640635,1.1152145263279667,0.1939228132805948,0.8127517057641876,0.855306304284315,1.0,0.2075,0.11450187675433245,0.5021151844664774,2026-08-31T19:45:53.596328+00:00,1806733
e6d,sin_homo,bbb,tanh,1,303,0.15020174297848168,0.1676748486607751,1.1163309115846722,0.2108682261654332,0.9456843701858412,0.9928514410304429,1.0,0.405,0.12636546370411542,0.36878656659276754,2026-08-31T19:45:56.875701+00:00,1806733
e6d,sin_homo,bbb,tanh,2,303,0.17120492045484978,0.18074446995998678,1.0557200662211854,0.20874088925611764,1.1092150201578397,1.132682167017465,1.0,0.385,0.12186405752580017,0.25357222061995827,2026-08-31T19:45:53.577776+00:00,1806733
e6d,sin_homo,laplace,relu,0,152,0.025789058696330268,0.40851615269375297,15.840677145454867,0.5266828318636849,0.38605164427395644,1.6534599814379716,0.9333333333333333,0.9925,0.10390348509851156,0.8406655070769096,2026-08-31T19:45:53.803892+00:00,1806733
e6d,sin_homo,laplace,relu,1,152,0.03451563331425049,0.24156583386598077,6.998736823590177,0.14759850901828406,0.41187307802085976,1.0594189982069617,0.9416666666666667,0.72,0.10215770502240507,0.8466373545213272,2026-08-31T19:45:54.177935+00:00,1806733
e6d,sin_homo,laplace,relu,2,152,0.030797788010253405,0.33036443877394256,10.726888524070477,0.14719774446216305,0.43763569617238196,1.4261328502303359,0.9683333333333334,0.8375,0.09932638955181018,0.8774212027577355,2026-08-31T19:45:55.387167+00:00,1806733
e6d,sin_homo,laplace,tanh,0,152,0.01741495524539839,0.31197886805790814,17.9144226133078,0.48499779390858966,0.3980478045944682,1.3255684098576646,0.9416666666666667,0.955,0.10602958873777432,0.8241501535812816,2026-08-31T19:46:01.924450+00:00,1806733
e6d,sin_homo,laplace,tanh,1,152,0.01702112735902548,0.3334907818884463,19.592755218508618,0.4969882538204936,0.3903480861355062,1.4033751328616462,0.9383333333333334,0.9525,0.10322802655306615,0.8506204178089063,2026-08-31T19:46:02.099313+00:00,1806733
e6d,sin_homo,laplace,tanh,2,152,0.02028238645310706,0.35595897771702517,17.55015261838164,0.45881748221627283,0.47302788006724084,1.5244702459035309,0.9766666666666667,0.9625,0.10293858648259185,0.8325478886978843,2026-08-31T19:46:02.910059+00:00,1806733
e6d,sin_homo,ensemble,relu,0,760,0.01789506333522626,0.09061999330385512,5.063966056240244,0.12585363155816276,0.3888879289672774,0.5414577469136233,0.9366666666666666,0.66,0.10385113456666537,0.8421495427866761,2026-08-31T19:46:33.718200+00:00,1806733
e6d,sin_homo,ensemble,relu,1,760,0.009101318254761716,0.029365693833850834,3.226531916789857,0.020841300631123143,0.370430393695278,0.39113064455067104,0.9333333333333333,0.3525,0.10142309724529089,0.8643389564770154,2026-08-31T19:46:35.314244+00:00,1806733
e6d,sin_homo,ensemble,relu,2,760,0.010774044296644624,0.036079495727940794,3.3487421004178612,0.06387754916815401,0.4156507983961877,0.44353504450224784,0.9566666666666667,0.325,0.10048049150202143,0.8763197633478759,2026-08-31T19:46:36.620330+00:00,1806733
e6d,sin_homo,ensemble,tanh,0,760,0.021008072745703488,0.04720041410922269,2.246775069782448,0.07756784243892023,0.40240186433074515,0.44496490159958824,0.9383333333333334,0.6125,0.10493070629743068,0.8322877117314343,2026-08-31T19:46:43.307294+00:00,1806733
e6d,sin_homo,ensemble,tanh,1,760,0.04210937099615434,0.06275453058229262,1.490274708402168,0.06819783643686939,0.43375824715311767,0.4717895912683332,0.9683333333333334,0.6075,0.1028622198333233,0.8492467363438332,2026-08-31T19:46:42.659930+00:00,1806733
e6d,sin_homo,ensemble,tanh,2,760,0.02765056689787727,0.04993688861522977,1.8059987268855386,0.06722302764284475,0.4605718537610875,0.4945959222551917,0.9716666666666667,0.5075,0.10161153408366712,0.8485901261186828,2026-08-31T19:46:44.102661+00:00,1806733
e6d,sin_gap,map,relu,0,152,0.0,0.0,,0.0,0.3744581423624167,0.37445814236241676,0.905,0.3925,0.11003528488166803,0.7659976269292357,2026-08-31T19:46:41.663103+00:00,1806733
e6d,sin_gap,map,relu,1,152,0.0,0.0,,0.0,0.37430628467357413,0.37430628467357413,0.9266666666666666,0.5525,0.10689581148933214,0.8032113971466426,2026-08-31T19:46:43.486761+00:00,1806733
e6d,sin_gap,map,relu,2,152,0.0,0.0,,0.0,0.4175911439450265,0.41759114394502644,0.9383333333333334,0.505,0.11220180759612612,0.7657316931011494,2026-08-31T19:46:44.602779+00:00,1806733
e6d,sin_gap,map,tanh,0,152,0.0,0.0,,0.0,0.3882422171267362,0.3882422171267362,0.9266666666666666,0.5625,0.10927320327488661,0.7846381001548305,2026-08-31T19:46:50.214794+00:00,1806733
e6d,sin_gap,map,tanh,1,152,0.0,0.0,,0.0,0.38423963744626016,0.38423963744626016,0.9383333333333334,0.565,0.10296775477281135,0.8518964854573452,2026-08-31T19:46:51.108813+00:00,1806733
e6d,sin_gap,map,tanh,2,152,0.0,0.0,,0.0,0.459636935958787,0.45963693595878696,0.9733333333333334,0.555,0.10724837268882843,0.8061628498608433,2026-08-31T19:46:51.571875+00:00,1806733
e6d,sin_gap,mcd,relu,0,152,0.11697767980806707,0.48609910116778215,4.155485918043141,0.8981559424453889,0.9358290324643622,2.085097079925611,0.9966666666666667,1.0,0.13842620159074542,0.34579802166951024,2026-08-31T19:46:52.478861+00:00,1806733
e6d,sin_gap,mcd,relu,1,152,0.09670960419185375,0.43569678431043996,4.505206984883312,0.7661323734268006,0.8291370183932507,1.8658881001614367,0.9883333333333333,0.9925,0.15770467741442837,0.34000634283628517,2026-08-31T19:46:53.239302+00:00,1806733
e6d,sin_gap,mcd,relu,2,152,0.10187330960531188,0.4503456314637826,4.420643966594962,0.8108456100773267,0.9026666981537289,1.9496943893349412,1.0,0.995,0.14555158539330126,0.3429351547322303,2026-08-31T19:46:53.899586+00:00,1806733
e6d,sin_gap,mcd,tanh,0,152,0.12399947340547214,0.16597618323819247,1.3385232911067175,0.16448548898405993,0.9512716893104016,1.0410305419329424,0.99,0.3625,0.17801373517308938,0.2150355410698122,2026-08-31T19:46:59.319290+00:00,1806733
e6d,sin_gap,mcd,tanh,1,152,0.12143455066119892,0.15926559816855307,1.3115344628144783,0.1761501335923512,0.9560681515004944,1.0339100296703476,0.9716666666666667,0.37,0.21188328623655467,0.09112111605128459,2026-08-31T19:47:00.848704+00:00,1806733
e6d,sin_gap,mcd,tanh,2,152,0.12362345978908516,0.16534806373294267,1.3375136403320547,0.16422472424115558,0.9676822202644292,1.0551689168238731,0.995,0.515,0.1749342676529819,0.2248226603458768,2026-08-31T19:47:00.829411+00:00,1806733
e6d,sin_gap,bbb,relu,0,303,0.05306368711674267,1.071428827953485,20.191375423955932,0.18698876065108694,0.49931994821523623,4.3188245432446815,0.9766666666666667,0.83,0.11018567314535416,0.7670449163790677,2026-08-31T19:50:00.615358+00:00,1806733
e6d,sin_gap,bbb,relu,1,303,0.08033161904636209,1.3835237129160303,17.222654408565475,0.10143023466960109,0.5880622333803541,5.585962286730445,0.99,0.8625,0.11308102293688899,0.6927148381621894,2026-08-31T19:50:00.685645+00:00,1806733
e6d,sin_gap,bbb,relu,2,303,0.0783561405414545,0.853625014945075,10.894168715385653,0.09896712841214927,0.612036344538,3.532029225433174,0.9866666666666667,0.8625,0.11905838480048285,0.6487565656119049,2026-08-31T19:50:00.916981+00:00,1806733
e6d,sin_gap,bbb,tanh,0,303,0.13646394845818055,0.13599826298911505,0.9965874835491206,0.1734334046419486,0.8387828960137412,0.836891540432608,0.9816666666666667,0.1925,0.17547173386162468,0.2972163591423902,2026-08-31T19:50:16.698370+00:00,1806733
e6d,sin_gap,bbb,tanh,1,303,0.1415542918866767,0.14798895927049474,1.0454572397491797,0.19785321825320717,0.8624233298018602,0.8827663683292528,0.9483333333333334,0.47,0.20335049071367195,0.18303062922356206,2026-08-31T19:50:17.364863+00:00,1806733
e6d,sin_gap,bbb,tanh,2,303,0.15721204597190946,0.15567384053970365,0.9902157279189621,0.1687997339293904,1.001634706906168,0.9924023522545687,1.0,0.6025,0.12637002910078915,0.32941199716135033,2026-08-31T19:50:16.481806+00:00,1806733
e6d,sin_gap,laplace,relu,0,152,0.026829108209918004,0.2352442074944873,8.768245506107572,0.0970641166076994,0.3956058937901913,1.0583767252328422,0.915,0.6375,0.11003528488166803,0.7741155992556066,2026-08-31T19:50:09.664980+00:00,1806733
e6d,sin_gap,laplace,relu,1,152,0.035104663082868214,0.29177670619842344,8.311622461940573,0.16290158042027209,0.4048791714965573,1.2521898992966956,0.9466666666666667,0.9125,0.10689581148933214,0.8195548934977908,2026-08-31T19:50:09.516140+00:00,1806733
