dataset,method,n_train_full,n_fit,steps_per_epoch,steps_per_epoch_full,chosen_epochs,total_steps,total_steps_full,best_epochs,best_val_nll,chosen_val_nll,chosen_val_nll_seed_std,excess_nats
concrete,map,927,742,6,8,100,600,800,100,0.3406536550856445,0.3406536550856445,0.052594430413814244,0.0
concrete,mcd,927,742,6,8,1000,6000,8000,1000,0.2576331134125397,0.2576331134125397,0.019380659629633902,0.0
concrete,bbb,927,742,6,8,200,1200,1600,500,0.2657094339338555,0.2780682443659814,0.014623202123085944,0.012358810432125888
