dataset,method,seed,epoch,val_nll,val_ll,val_rmse,mean_var_aleatoric,mean_var_epistemic,n_fit,n_val,n_train_full,batch_size,steps_per_epoch,total_steps,elbo_samples,run_aborted,max_epoch_measured,run_train_time_s,timestamp,git_commit,on_grid
energy,map,2,2000,-1.3892567554859363,1.3892567554859363,0.0519583731063067,0.0013616228617423,0.0,553,138,691,128,5,10000,,False,2000,9.75347979995422,2026-08-27T09:49:57.132935+00:00,1806733,True
energy,mcd,0,5,0.8635250666456641,-0.8635250666456641,0.3160787845862051,0.7774363114352153,0.0110368470972052,553,138,691,128,5,25,,False,2000,10.835487099946477,2026-08-27T09:49:57.132935+00:00,1806733,True
energy,mcd,0,10,0.73754030091168,-0.73754030091168,0.2833928811517764,0.5994945123060855,0.0101512966445394,553,138,691,128,5,50,,False,2000,10.835487099946477,2026-08-27T09:49:57.132935+00:00,1806733,True
energy,mcd,0,20,0.5238087880843717,-0.5238087880843717,0.2698645309027538,0.3642960076593866,0.0085699432286081,553,138,691,128,5,100,,False,2000,10.835487099946477,2026-08-27T09:49:57.132935+00:00,1806733,True
energy,mcd,0,50,0.0739839918524501,-0.0739839918524501,0.2206054291001286,0.1093853243098501,0.0138913011526965,553,138,691,128,5,250,,False,2000,10.835487099946477,2026-08-27T09:49:57.132935+00:00,1806733,True
energy,mcd,0,100,-0.2192684890403437,0.2192684890403437,0.1733688099963991,0.0470274334894943,0.0162457830257905,553,138,691,128,5,500,,False,2000,10.835487099946477,2026-08-27T09:49:57.132935+00:00,1806733,True
energy,mcd,0,200,-0.3478789745548727,0.3478789745548727,0.1526687326769669,0.0346081928757176,0.0146456285953431,553,138,691,128,5,1000,,False,2000,10.835487099946477,2026-08-27T09:49:57.132935+00:00,1806733,True
energy,mcd,0,500,-0.5160974418414634,0.5160974418414634,0.1115937455561152,0.0279626607421333,0.0143572626157195,553,138,691,128,5,2500,,False,2000,10.835487099946477,2026-08-27T09:49:57.132935+00:00,1806733,True
energy,mcd,0,1000,-0.5071219241133815,0.5071219241133815,0.1197015538794921,0.0265181620590149,0.0139539448477936,553,138,691,128,5,5000,,False,2000,10.835487099946477,2026-08-27T09:49:57.132935+00:00,1806733,True
energy,mcd,0,2000,-0.5273143947205589,0.5273143947205589,0.1111347116963879,0.0265190607813165,0.0146402894452354,553,138,691,128,5,10000,,False,2000,10.835487099946477,2026-08-27T09:49:57.132935+00:00,1806733,True
energy,mcd,1,5,0.8880162825864727,-0.8880162825864727,0.3219780260549775,0.818227675920104,0.011312694451862,553,138,691,128,5,25,,False,2000,10.947434499976223,2026-08-27T09:49:57.132935+00:00,1806733,True
energy,mcd,1,10,0.7615854780128545,-0.7615854780128545,0.2892446408060763,0.6303338729464586,0.0101578694957872,553,138,691,128,5,50,,False,2000,10.947434499976223,2026-08-27T09:49:57.132935+00:00,1806733,True
energy,mcd,1,20,0.5301488440613475,-0.5301488440613475,0.2523374505881485,0.3807211137281001,0.0094096061401372,553,138,691,128,5,100,,False,2000,10.947434499976223,2026-08-27T09:49:57.132935+00:00,1806733,True
energy,mcd,1,50,0.0595319512059158,-0.0595319512059158,0.2081592044354303,0.1107523103516782,0.0156649415125295,553,138,691,128,5,250,,False,2000,10.947434499976223,2026-08-27T09:49:57.132935+00:00,1806733,True
energy,mcd,1,100,-0.2530277121094794,0.2530277121094794,0.1621239460004651,0.045445044449656,0.0174064354008714,553,138,691,128,5,500,,False,2000,10.947434499976223,2026-08-27T09:49:57.132935+00:00,1806733,True
energy,mcd,1,200,-0.4110689251982247,0.4110689251982247,0.126687005370176,0.0340536840580378,0.0168556135515094,553,138,691,128,5,1000,,False,2000,10.947434499976223,2026-08-27T09:49:57.132935+00:00,1806733,True
energy,mcd,1,500,-0.4961342584465975,0.4961342584465975,0.1129732712194956,0.0291481017931907,0.0150374117358994,553,138,691,128,5,2500,,False,2000,10.947434499976223,2026-08-27T09:49:57.132935+00:00,1806733,True
energy,mcd,1,1000,-0.5408344906726523,0.5408344906726523,0.100367872150486,0.027920983855385,0.0146877996527591,553,138,691,128,5,5000,,False,2000,10.947434499976223,2026-08-27T09:49:57.132935+00:00,1806733,True
energy,mcd,1,2000,-0.5254947602650383,0.5254947602650383,0.1126315267832974,0.0268847896268605,0.013822854662364,553,138,691,128,5,10000,,False,2000,10.947434499976223,2026-08-27T09:49:57.132935+00:00,1806733,True
energy,mcd,2,5,0.9204086484804554,-0.9204086484804554,0.3581158713904159,0.8559064860892239,0.0086631608783381,553,138,691,128,5,25,,False,2000,10.961253499961458,2026-08-27T09:49:57.132935+00:00,1806733,True
energy,mcd,2,10,0.780644915879014,-0.780644915879014,0.2893878050770039,0.6588610209730628,0.0101450216121941,553,138,691,128,5,50,,False,2000,10.961253499961458,2026-08-27T09:49:57.132935+00:00,1806733,True
energy,mcd,2,20,0.5508004451851001,-0.5508004451851001,0.2597485574422489,0.3954346695828905,0.0098475422979368,553,138,691,128,5,100,,False,2000,10.961253499961458,2026-08-27T09:49:57.132935+00:00,1806733,True
energy,mcd,2,50,0.1001314466119693,-0.1001314466119693,0.2291182587426012,0.1143987299457792,0.0135898497250365,553,138,691,128,5,250,,False,2000,10.961253499961458,2026-08-27T09:49:57.132935+00:00,1806733,True
energy,mcd,2,100,-0.297804014666125,0.297804014666125,0.1474492522526485,0.0447917495731618,0.0161406173946082,553,138,691,128,5,500,,False,2000,10.961253499961458,2026-08-27T09:49:57.132935+00:00,1806733,True
energy,mcd,2,200,-0.4266289508265424,0.4266289508265424,0.1296525457599327,0.0326833629931117,0.0150370510254832,553,138,691,128,5,1000,,False,2000,10.961253499961458,2026-08-27T09:49:57.132935+00:00,1806733,True
energy,mcd,2,500,-0.4467742130357201,0.4467742130357201,0.1351210789292942,0.0286506240390162,0.0136549390306726,553,138,691,128,5,2500,,False,2000,10.961253499961458,2026-08-27T09:49:57.132935+00:00,1806733,True
energy,mcd,2,1000,-0.518853069727548,0.518853069727548,0.1117928246835627,0.0274250481515121,0.0142198391451901,553,138,691,128,5,5000,,False,2000,10.961253499961458,2026-08-27T09:49:57.132935+00:00,1806733,True
energy,mcd,2,2000,-0.4556641938956545,0.4556641938956545,0.124805890582219,0.0310525926375877,0.014282092247648,553,138,691,128,5,10000,,False,2000,10.961253499961458,2026-08-27T09:49:57.132935+00:00,1806733,True
energy,bbb,0,5,0.8764793274397624,-0.8764793274397624,0.3250634879253838,0.7825836470129077,0.0231711257113765,553,138,691,128,5,25,8.0,False,2000,67.70959250000305,2026-08-27T09:49:57.132935+00:00,1806733,True
energy,bbb,0,10,0.7642749816762021,-0.7642749816762021,0.305206722041822,0.61108057746995,0.0224694880089208,553,138,691,128,5,50,8.0,False,2000,67.70959250000305,2026-08-27T09:49:57.132935+00:00,1806733,True
energy,bbb,0,20,0.5551775324946714,-0.5551775324946714,0.2696648376352582,0.380360273361444,0.0228025816698579,553,138,691,128,5,100,8.0,False,2000,67.70959250000305,2026-08-27T09:49:57.132935+00:00,1806733,True
energy,bbb,0,50,0.141703764095917,-0.141703764095917,0.2294961394504538,0.1239984869046678,0.0243167209865335,553,138,691,128,5,250,8.0,False,2000,67.70959250000305,2026-08-27T09:49:57.132935+00:00,1806733,True
energy,bbb,0,100,-0.2862829969190801,0.2862829969190801,0.1526607332416756,0.0465146964885617,0.0149750799150839,553,138,691,128,5,500,8.0,False,2000,67.70959250000305,2026-08-27T09:49:57.132935+00:00,1806733,True
energy,bbb,0,200,-0.6942436685778477,0.6942436685778477,0.0980657740737156,0.0187720912385604,0.0094251980815322,553,138,691,128,5,1000,8.0,False,2000,67.70959250000305,2026-08-27T09:49:57.132935+00:00,1806733,True
energy,bbb,0,500,-1.285312208371325,1.285312208371325,0.0650188633753346,0.0047778001144246,0.0017702922724188,553,138,691,128,5,2500,8.0,False,2000,67.70959250000305,2026-08-27T09:49:57.132935+00:00,1806733,True
energy,bbb,0,1000,-1.5745907895595093,1.5745907895595093,0.0490370532179336,0.002815516499806,0.0005188822075219,553,138,691,128,5,5000,8.0,False,2000,67.70959250000305,2026-08-27T09:49:57.132935+00:00,1806733,True
energy,bbb,0,2000,-1.5509055629279955,1.5509055629279955,0.0510086083628269,0.0027213128511556,0.0002709080837987,553,138,691,128,5,10000,8.0,False,2000,67.70959250000305,2026-08-27T09:49:57.132935+00:00,1806733,True
concrete,map,0,5,0.9696995001594912,-0.9696995001594912,0.5452309498611955,0.7411155019481049,0.0,742,185,927,128,6,30,,False,2000,11.723216100013817,2026-08-27T09:49:57.132935+00:00,1806733,True
concrete,map,0,10,0.7858291304628144,-0.7858291304628144,0.4330599871029779,0.5422104885177707,0.0,742,185,927,128,6,60,,False,2000,11.723216100013817,2026-08-27T09:49:57.132935+00:00,1806733,True
concrete,map,0,20,0.5584191995894188,-0.5584191995894188,0.3763278590048783,0.3061779445211804,0.0,742,185,927,128,6,120,,False,2000,11.723216100013817,2026-08-27T09:49:57.132935+00:00,1806733,True
concrete,map,0,50,0.3163538213313516,-0.3163538213313516,0.3319950524837857,0.1118022109442647,0.0,742,185,927,128,6,300,,False,2000,11.723216100013817,2026-08-27T09:49:57.132935+00:00,1806733,True
concrete,map,0,100,0.3294893661912607,-0.3294893661912607,0.3219980202448018,0.0701197184424429,0.0,742,185,927,128,6,600,,False,2000,11.723216100013817,2026-08-27T09:49:57.132935+00:00,1806733,True
concrete,map,0,200,0.4937742617491571,-0.4937742617491571,0.3208686399015695,0.0463531213791716,0.0,742,185,927,128,6,1200,,False,2000,11.723216100013817,2026-08-27T09:49:57.132935+00:00,1806733,True
