dataset,dropout_p,seed,x,std_epi
sin_homo,0.05,0,-2.0,0.1382698410603278
sin_homo,0.05,0,-1.98998998998999,0.1364211722271784
sin_homo,0.05,0,-1.97997997997998,0.1404125594864122
sin_homo,0.05,0,-1.96996996996997,0.1465699709611995
sin_homo,0.05,0,-1.95995995995996,0.15083258771544403
sin_homo,0.05,0,-1.94994994994995,0.11913521917482893
sin_homo,0.05,0,-1.93993993993994,0.1393688933986849
sin_homo,0.05,0,-1.92992992992993,0.1467470462667569
sin_homo,0.05,0,-1.91991991991992,0.15419306820796022
sin_homo,0.05,0,-1.90990990990991,0.14799755712258564
sin_homo,0.05,0,-1.8998998998999,0.12882755474485982
sin_homo,0.05,0,-1.88988988988989,0.1244717711471138
sin_homo,0.05,0,-1.87987987987988,0.12313181417009332
sin_homo,0.05,0,-1.86986986986987,0.13988956121647644
sin_homo,0.05,0,-1.85985985985986,0.135810102041705
sin_homo,0.05,0,-1.84984984984985,0.1399711640195135
sin_homo,0.05,0,-1.83983983983984,0.16610387178788405
sin_homo,0.05,0,-1.82982982982983,0.15641484526467894
sin_homo,0.05,0,-1.8198198198198199,0.14747172080144527
sin_homo,0.05,0,-1.8098098098098099,0.11272488239860008
sin_homo,0.05,0,-1.7997997997997999,0.10793631502027617
sin_homo,0.05,0,-1.7897897897897899,0.13362536116039844
sin_homo,0.05,0,-1.7797797797797799,0.13513478139928448
sin_homo,0.05,0,-1.7697697697697699,0.13864951108982737
sin_homo,0.05,0,-1.7597597597597598,0.1335320673228585
sin_homo,0.05,0,-1.7497497497497498,0.15737260747408124
sin_homo,0.05,0,-1.7397397397397398,0.13418972647958646
sin_homo,0.05,0,-1.7297297297297298,0.13571207987982448
sin_homo,0.05,0,-1.7197197197197198,0.1475094468572309
sin_homo,0.05,0,-1.7097097097097098,0.1279758039338783
sin_homo,0.05,0,-1.6996996996996998,0.15619579876874035
sin_homo,0.05,0,-1.6896896896896898,0.11172420891522201
sin_homo,0.05,0,-1.6796796796796798,0.13592708513756574
sin_homo,0.05,0,-1.6696696696696698,0.14089688537173833
sin_homo,0.05,0,-1.6596596596596598,0.12198723807278286
sin_homo,0.05,0,-1.6496496496496498,0.13413788768884335
sin_homo,0.05,0,-1.6396396396396398,0.15651185243281712
sin_homo,0.05,0,-1.6296296296296298,0.16601982902190046
sin_homo,0.05,0,-1.6196196196196198,0.13322889966647006
sin_homo,0.05,0,-1.6096096096096097,0.13593915245066562
sin_homo,0.05,0,-1.5995995995995997,0.14269778724491428
sin_homo,0.05,0,-1.5895895895895895,0.11363757906380446
sin_homo,0.05,0,-1.5795795795795795,0.16132514328699726
sin_homo,0.05,0,-1.5695695695695695,0.13063931681105226
sin_homo,0.05,0,-1.5595595595595595,0.1390669736018344
sin_homo,0.05,0,-1.5495495495495495,0.15580589156149952
sin_homo,0.05,0,-1.5395395395395395,0.14878902447000283
sin_homo,0.05,0,-1.5295295295295295,0.13169287608264432
sin_homo,0.05,0,-1.5195195195195195,0.12848187808981912
sin_homo,0.05,0,-1.5095095095095095,0.14321705636346677
sin_homo,0.05,0,-1.4994994994994995,0.14128346609470663
sin_homo,0.05,0,-1.4894894894894894,0.13994128961024493
sin_homo,0.05,0,-1.4794794794794794,0.11125648822109346
sin_homo,0.05,0,-1.4694694694694694,0.1378999582398718
sin_homo,0.05,0,-1.4594594594594594,0.1395009829357831
sin_homo,0.05,0,-1.4494494494494494,0.1365668747621643
sin_homo,0.05,0,-1.4394394394394394,0.1375022488302575
sin_homo,0.05,0,-1.4294294294294294,0.14741196655050304
sin_homo,0.05,0,-1.4194194194194194,0.13798142535985491
sin_homo,0.05,0,-1.4094094094094094,0.15629559418975716
sin_homo,0.05,0,-1.3993993993993994,0.14125319117301552
sin_homo,0.05,0,-1.3893893893893894,0.1305067214518225
sin_homo,0.05,0,-1.3793793793793794,0.13132107828004774
sin_homo,0.05,0,-1.3693693693693694,0.12849148697061671
sin_homo,0.05,0,-1.3593593593593594,0.1258242927666239
sin_homo,0.05,0,-1.3493493493493494,0.14916645186781322
sin_homo,0.05,0,-1.3393393393393394,0.13329301099123778
sin_homo,0.05,0,-1.3293293293293293,0.12892771457033134
sin_homo,0.05,0,-1.3193193193193193,0.16236673756672793
sin_homo,0.05,0,-1.3093093093093093,0.13072568867743026
sin_homo,0.05,0,-1.2992992992992993,0.14845595219421398
sin_homo,0.05,0,-1.2892892892892893,0.13084601733634701
