dataset,dropout_p,seed,rmse_in_range,ll_in_range,picp95_in_range,mpiw95_in_range,median_std_epi_in_range,rmse_extrapolation,ll_extrapolation,picp95_extrapolation,mpiw95_extrapolation,median_std_epi_extrapolation,std_epi_at_m2,ratio_at_m2,std_epi_at_8,ratio_at_8,timestamp,git_commit
sin_homo,0.05,0,0.12942021353331962,0.6403427824200653,0.955,0.5468945358279762,0.10198479211167052,0.7710737919119098,-10.54678023072975,0.13,0.6382579865370552,0.1277721211095286,0.1382698410603278,1.355788821032514,0.11926022590596391,1.1693922538507238,2026-08-26T09:42:45.625192+00:00,1806733
sin_homo,0.05,1,0.1258274598848637,0.6625608997591168,0.96,0.5318254306669004,0.09807902872704274,0.6856992789162344,-8.304688243773542,0.27,0.6304886975469514,0.12640747522202245,0.13930632968004572,1.4203477694272437,0.15303456710440713,1.5603189498369474,2026-08-26T09:42:54.133577+00:00,1806733
sin_homo,0.05,2,0.15655793533245685,0.42197903328149255,0.9116666666666666,0.5292900997939562,0.09471826608112718,0.5903547469678616,-5.728901631625856,0.515,0.6385101637582152,0.12836894759696776,0.1322342026726729,1.3960792162243862,0.1219726438581382,1.2877415191877284,2026-08-26T09:43:02.539168+00:00,1806733
sin_homo,0.1,0,0.1409097697646579,0.5629990383291041,0.96,0.5876497293206818,0.11987176514315374,0.8872215313566946,-12.278507884999296,0.105,0.6817700822148395,0.14089052940538116,0.1544284797616228,1.288280685424133,0.1287048022662961,1.0736873867886547,2026-08-26T09:43:11.068262+00:00,1806733
sin_homo,0.1,1,0.1373180015272753,0.5923195635235492,0.96,0.5704790101927222,0.1137259873292921,0.8553262915960997,-11.483890987528467,0.1275,0.6773436789278882,0.13967530722575633,0.1481654792777392,1.302828691640443,0.15690196348563257,1.3796491652459786,2026-08-26T09:43:19.629269+00:00,1806733
sin_homo,0.1,2,0.15552686525511034,0.4677044445006472,0.9216666666666666,0.5648198399969726,0.10958738731154799,0.7562174905781048,-8.68602981883222,0.305,0.6746966729918492,0.1386566831237812,0.12682910742293252,1.1573330702954687,0.13437345288288374,1.226176261515123,2026-08-26T09:43:28.125732+00:00,1806733
sin_homo,0.2,0,0.15766854317150328,0.4758884220432899,0.965,0.6347971479364437,0.13655367905510613,1.0606986292498197,-15.735714164142294,0.065,0.7257480615367858,0.1547398972269381,0.15373345998389198,1.1258097258723654,0.1555579181992134,1.1391704659706616,2026-08-26T09:43:36.625045+00:00,1806733
sin_homo,0.2,1,0.15274561430565825,0.5001991547568142,0.9616666666666667,0.6325582652918197,0.1340311106291572,1.0548045393412344,-15.219527030648491,0.0825,0.7330347263787815,0.1577973379111099,0.15911414863075957,1.1871434018852767,0.16388207870597976,1.222716710595762,2026-08-26T09:43:44.879575+00:00,1806733
sin_homo,0.2,2,0.15563966502647944,0.4797051675340587,0.965,0.6215465636587536,0.12868191834748827,0.9839701754744851,-13.326944876741583,0.1225,0.7236254427411082,0.15458427267042274,0.1461874024571549,1.1360368599914357,0.15519962621650674,1.206071748148881,2026-08-26T09:43:53.172666+00:00,1806733
sin_homo,0.3,0,0.1743994114813254,0.3749323743831023,0.9466666666666667,0.6649756575327025,0.1452522702271586,1.1634074746729859,-17.68575022331825,0.06,0.7552848825995234,0.16379719669832427,0.17429973094835532,1.199979392237861,0.1717540518177673,1.1824534759364713,2026-08-26T09:44:01.516975+00:00,1806733
sin_homo,0.3,1,0.185451364351168,0.309007184309177,0.9383333333333334,0.688956848626006,0.1540007150029214,1.2855761329439501,-20.08794351714561,0.04,0.7835378282311128,0.17299228829912386,0.17317615408194573,1.124515260066556,0.17221493403631527,1.1182736004378184,2026-08-26T09:44:09.822418+00:00,1806733
sin_homo,0.3,2,0.17209530024650088,0.38753753645937905,0.97,0.6774574901402691,0.14684048364632007,1.0514475998563713,-13.299105128417368,0.0975,0.7757223330808861,0.1707124547717661,0.17504729448913015,1.1920915141545636,0.18066212058788214,1.230329103403288,2026-08-26T09:44:18.078176+00:00,1806733
