x,mean,std_alea,std_epi,y_true
-2.0,-0.11949922663741824,0.10000000000000002,0.0,-0.9092974268256817
-1.98998998998999,-0.11934187210691169,0.10000000000000002,0.0,-0.913417435701936
-1.97997997997998,-0.11918265968380487,0.10000000000000002,0.0,-0.917445920640973
-1.96996996996997,-0.11902155835702177,0.10000000000000002,0.0,-0.921382477990762
-1.95995995995996,-0.11885853649569642,0.10000000000000002,0.0,-0.9252267133103678
-1.94994994994995,-0.11869356183535085,0.10000000000000002,0.0,-0.9289782414094727
-1.93993993993994,-0.11852660146373425,0.10000000000000002,0.0,-0.9326366863869732
-1.92992992992993,-0.11835762180631604,0.10000000000000002,0.0,-0.9362016816686444
-1.91991991991992,-0.11818658861142423,0.10000000000000002,0.0,-0.9396728700438709
-1.90990990990991,-0.11801346693501893,0.10000000000000002,0.0,-0.9430499037014389
-1.8998998998999,-0.11783822112509068,0.10000000000000002,0.0,-0.9463324442643871
-1.88988988988989,-0.11766081480567583,0.10000000000000002,0.0,-0.9495201628239114
-1.87987987987988,-0.11748121086047733,0.10000000000000002,0.0,-0.9526127399723214
-1.86986986986987,-0.11729937141607952,0.10000000000000002,0.0,-0.9556098658350456
-1.85985985985986,-0.11711525782474877,0.10000000000000002,0.0,-0.9585112401016795
-1.84984984984985,-0.11692883064680673,0.10000000000000002,0.0,-0.9613165720560779
-1.83983983983984,-0.1167400496325649,0.10000000000000002,0.0,-0.964025580605483
-1.82982982982983,-0.11654887370381178,0.10000000000000002,0.0,-0.9666379943086911
-1.8198198198198199,-0.11635526093483575,0.10000000000000002,0.0,-0.9691535514032502
-1.8098098098098099,-0.11615916853297578,0.10000000000000002,0.0,-0.9715719998316883
-1.7997997997997999,-0.11596055281868434,0.10000000000000002,0.0,-0.9738930972667699
-1.7897897897897899,-0.11575936920509175,0.10000000000000002,0.0,-0.9761166111357765
-1.7797797797797799,-0.11555557217705664,0.10000000000000002,0.0,-0.9782423186438112
-1.7697697697697699,-0.11534911526969022,0.10000000000000002,0.0,-0.9802700067961214
-1.7597597597597598,-0.11513995104633942,0.10000000000000002,0.0,-0.9821994724194418
-1.7497497497497498,-0.11492803107601474,0.10000000000000002,0.0,-0.9840305221823515
-1.7397397397397398,-0.11471330591024831,0.10000000000000002,0.0,-0.9857629726146463
-1.7297297297297298,-0.11449572505936495,0.10000000000000002,0.0,-0.987396650125722
-1.7197197197197198,-0.11427523696815425,0.10000000000000002,0.0,-0.9889313910219679
-1.7097097097097098,-0.11405178899092375,0.10000000000000002,0.0,-0.9903670415231693
-1.6996996996996998,-0.11382532736591724,0.10000000000000002,0.0,-0.991703457777916
-1.6896896896896898,-0.11359579718908513,0.10000000000000002,0.0,-0.9929405058780159
-1.6796796796796798,-0.11336314238718218,0.10000000000000002,0.0,-0.9940780618719127
-1.6696696696696698,-0.113127305690183,0.10000000000000002,0.0,-0.9951160117771058
-1.6596596596596598,-0.11288822860298856,0.10000000000000002,0.0,-0.9960542515915716
-1.6496496496496498,-0.11264585137641159,0.10000000000000002,0.0,-0.9968926873041835
-1.6396396396396398,-0.11240011297741737,0.10000000000000002,0.0,-0.9976312349041329
-1.6296296296296298,-0.11215095105860165,0.10000000000000002,0.0,-0.9982698203893463
-1.6196196196196198,-0.11189830192688363,0.10000000000000002,0.0,-0.9988083797739007
-1.6096096096096097,-0.11164210051139542,0.10000000000000002,0.0,-0.9992468590944343
-1.5995995995995997,-0.11138228033054415,0.10000000000000002,0.0,-0.9995852144155545
-1.5895895895895895,-0.11111877345822485,0.10000000000000002,0.0,-0.9998234118342396
-1.5795795795795795,-0.11085151048916198,0.10000000000000002,0.0,-0.9999614274832359
-1.5695695695695695,-0.11058042050335706,0.10000000000000002,0.0,-0.9999992475334494
-1.5595595595595595,-0.11030543102961585,0.10000000000000002,0.0,-0.9999368681953315
-1.5495495495495495,-0.11002646800813248,0.10000000000000002,0.0,-0.9997742957192581
-1.5395395395395395,-0.10974345575210526,0.10000000000000002,0.0,-0.9995115463949044
-1.5295295295295295,-0.10945631690835736,0.10000000000000002,0.0,-0.9991486465496117
-1.5195195195195195,-0.10916497241693629,0.10000000000000002,0.0,-0.9986856325457498
-1.5095095095095095,-0.10886934146966418,0.10000000000000002,0.0,-0.9981225507770738
